产品网址：https://www.myrntec.com/cnydcmz/40.html
产品结构：root->标准化模组产品_储能用电池模组_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|电池管理系统 BMS|100V 平台 BMS 系统、500V 平台 BMS 系统、500V 平台 BMS 系统-12V 供电、800V 平台 BMS 系统-24V 供电、BDU/PDU、工业车辆用 BMS 4G 模块、工业车辆用 BMS G1B 模块、二三轮车用 BMS 48V 系统、二三轮车用 BMS 72V 系统、储能电池系统总控管理 BAMS01、储能电池簇管理 ESC10B、储能电池信息采集管理 ESM7B3620B、储能电池信息采集管理 ES-M1819A、储能电池信息采集管理 ES-M5460A|无|
|电池智能制造 IME|控制单元 EOL 测试系统、动力/储能电池包 EOL 测试系统、高压配电单元 EOL 测试系统、锂电池充放电自动化测试解决方案、电芯/模组/PACK 充放电自动化测试系统、0V~1000V 模组/Pack 充放电测试系统、1500V~2000V 电池族充放电自动化测试系统、5MW 储能舱测试平台、ICT+FCT 汽车电子整线测试系统、FCT 测试系统、新能源锂电智能制造整线解决方案、动力电池模组 PACK 整线解决方案、储能电池模组 PACK 整线解决方案、高压配电单元整线解决方案、储能舱整线解决方案|无|
|电池总成系统 PACK|锐兆方工商业储能 RISS 系列、RISS211 型、锐亿方电网侧 RGES 系列、液冷储能站、风冷储能站、锐魔方户用储能 RESS 系列、RESS2600 型、RESS5120 型、锐致远便携储能 RMES 系列、RMES500 型、动力电池 PACK 系列、车规级动力电池 PACK15/24Kwh、电动高空作业自行走平台专用 PACK、国标电动轻型两轮车 PACK、中大型电动摩托车专用 PACK、储能用电池模组、标准化模组产品|锂电池电池模组适用于储能、二、三轮车及汽车级动力系统|

序号,项目,规格,规格.1,规格.2,规格.3
序号,项目,0.5kwh,1.92kwh,1.996kwh,4.032kwh
1,标称电压（V）,25.6,19.2,19.2,32
2,标称容量（Ah）,21,100,104,126
3,串并联方式,1P8S,1P6S,1P6S,2P10S
4,标称电量（Wh）,537.6,1920,1996.8,4032
5,额定充电电流（A）,10.5,50,52,63
6,最大放电电流（A）,21,100,104,126
7,电压工作范围（V）,32～58.4,12～21.9,12～21.9,20～36.5
8,重量（kg）,3.7,14.5,12,26
9,包络尺寸（mm）,277*80*152,387*233*92,360*152*125,480*207*152
10,工作温度范围,充电：0～55℃  放电：-30～60℃,充电：0～55℃  放电：-30～60℃,充电：0～55℃  放电：-30～60℃,充电：0～55℃  放电：-30～60℃
11,采集方案,线束CCS,FPC,FPC,线束CCS
12,循环寿命（次）,1500,1500,1500,1500
13,工作海拔高(mm),4000,4000,4000,4000
