产品网址：https://www.myrntec.com/ict_fct/18.html
产品结构：root->FCT测试系统_ICT+FCT汽车电子整线测试系统_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|ICT+FCT 汽车电子整线测试系统|无|适用于 BMS、VCU 等电控产品 PCBA 的全自动化功能测试，可有效提升生产效率和质量管控的要求。系统可配套全自动上板机，IN Line ICT 自动扫码测试，分选良品进入 FCT 系统测试。IN Line FCT 主要由线体机构和功能负载机柜两部分构成，可实现双工位同时在线测试，测试效率提升 1 倍。|

项目,参数,基本准确度
低压供电电压,0~40V,0.03%+30mV
低压供电电流,0~20A,0.03%+30mA
模拟电池单节电压,0~5000mV,0.5mV
模拟电池单节电流,1000mA,0.5mA
高压输出电压,0~1500V,0.05%RD±0.05%FS
高压输出电流,1000mA,0.1%RD±0.1%FS
可调电阻范围,0~511KΩ,0.1%
分流器模拟信号,-110~110mV,0.015%＋10uV
通讯功能,CAN/CANFD/RS485,CAN/CANFD/RS485
工位通道,双层两工位,双层两工位
操作模式,在线全自动化无人值守,在线全自动化无人值守
良率目标,一次直通率≥99%,一次直通率≥99%
关键指标,综合误测率≤0.5%，测试覆盖率≥99%,综合误测率≤0.5%，测试覆盖率≥99%
