产品网址：https://www.myrntec.com/cfd/132.html
产品结构：root->1500V~2000V电池族充放电自动化测试系统_锂电池充放电自动化测试解决方案_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|1500V~2000V 电池簇充放电测试系统|无|主要应用于储能电池簇产品的测试和质量控制，可实现充放电数据监测一体化。采用三电平控制技术和先进矢量控制算法，交流测采用先进的脉冲调制整流技术实现直流与交流能量的双向控制，对局部电网有功率因数校正和谐波治理作用。直流侧采用先进的三相交错均流矢量控制算法技术，实现了直流母线电压的高精度低纹波输出，宽范围可调，动态响应快等特点，能够适应宽范围的电池簇测试。|

项目,规格参数
AC侧供电,380±10%VAC， 50±5%Hz
DC侧电压范围,1500V~2000V(可定制)
DC侧电压精度,±0.05%F.S.(分辨率1mV)
DC侧电流范围,0~1000A(可定制)
DC侧电流精度,±0.05%F.S.(分辨率1mA)
通道数,1CH/2CH/4CH(选配)
电流响应时间,5mS(10%~90%)
电流切换时间,10mS(10%~90%)
最大回馈效率,≥96%
充电模式,恒流、恒压、恒功率、斜坡等
放电模式,恒流、恒压、恒功率、恒阻、斜坡等
其他工作模式,静置、工况模拟、脉冲测试、DCIR测试等
保护功能,过流/过压/欠压/反接/错接/通讯异常保护等
设备尺寸,2800*1100*2000mm(W*D*H)
