产品网址：https://www.myrntec.com/ress/138.html
产品结构：root->RESS5120型_锐魔方户用储能RESS系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|锐魔方户用储能RESS 系列|RESS5120 型|魔方式堆叠户储系统将光伏或风力发电能源以及低价市电存储，降低家庭用电支出。也可作为应急电源供一般家用电器、电脑、照明、通信设备等使用。具有 Gotion 品牌磷酸铁锂电芯，电池无记忆效应，循环寿命长；全模块化设计，可随时加减模块数量，维护及扩容方便；BMS 采用车规级采集和控制芯片，确保系统可靠运行；兼容匹配主流逆变器，可实现即插即用；体积小，便于搬运，可迅速应用于各种场景；配备气溶胶主动消防模块，有效抑制防护电池热失控；通过 IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000 认证等优势特点。|

产品型号,RESS1536,RESS2048,RESS2560,RESS3072
电池模块数量,3,4,5,6
标称电量(kWh),15.36,20.48,25.6,30.72
额定工作电压(V),153.6,204.8,256,307.2
额定充电电流(A),25A(45°C≤T<55°C)  50A(20°≤T<45°C)  50A(10°≤T<20°C)  20A(0°≤T<10°C),25A(45°C≤T<55°C)  50A(20°≤T<45°C)  50A(10°≤T<20°C)  20A(0°≤T<10°C),25A(45°C≤T<55°C)  50A(20°≤T<45°C)  50A(10°≤T<20°C)  20A(0°≤T<10°C),25A(45°C≤T<55°C)  50A(20°≤T<45°C)  50A(10°≤T<20°C)  20A(0°≤T<10°C)
额定放电电流（A）,50A,50A,50A,50A
防护等级,IP65,IP65,IP65,IP65
使用温度(℃),充电:0~+55;放电:-20~+55,充电:0~+55;放电:-20~+55,充电:0~+55;放电:-20~+55,充电:0~+55;放电:-20~+55
相对湿度,0~95%,0~95%,0~95%,0~95%
冷却方式,自然冷却,自然冷却,自然冷却,自然冷却
通讯接口,RS485/CAN,RS485/CAN,RS485/CAN,RS485/CAN
认证标准,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000
