产品网址：https://www.myrntec.com/dldcpack/142.html
产品结构：root->车规级动力电池PACK15/24Kwh_动力电池PACK系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|车规级动力电池 PACK15/24Kwh|203|锂电池动力总成系统，定位于 N1 类物流车，匹配自主研发 BMS，支持 OTA 功能。具有电气集成化设计、标准模组、PTC 热管理，满足 GB/T 38031 相关标准；箱体采用辊压+冲压方案满足轻量化指标，整包能量密度可达到 125wh/kg 以上；热管理采用可靠性更高的 PTC 方案，加热效率实测可达到 0.4℃/min；电池包底部喷涂 PVC 防石击设计；采用高寿命、高安全的 LFP 电芯，在热失控状态下整包不起火、不爆炸|

项目,规格,规格.1,备注
项目,24kwh,14.5kwh,备注
标称电压（V）,115.2,115.2,1/3C
标称容量（Ah）,208,126,1/3C
串并联方式,2P36S,2P36S,
标称电量（kWh）,24,14.5,1/3C
电池系统SOC工作区间,5%～100%,5%～100%,
电池系统电压工作范围（V）,90~131.4,90~131.4,
单体电池电压工作范围（V）,2.0～3.65,2.0～3.65,
重量（kg）,191±6,121±5,
能量密度（Wh/kg）,125,125,
包络空间（mm）,1300×1172×162,1260×792×186,含支架
工作温度范围,充电：0～55℃  放电：-30～55℃,充电：0～55℃  放电：-30～55℃,
自放电率,＜2%/月,＜2%/月,
电池系统防护等级,IP67,IP67,
循环寿命（次）,1200,1200,常温
热管理,PTC加热,PTC加热,
热扩散,满足GB 38031-2020要求,满足GB 38031-2020要求,≥5min
