产品网址：https://www.myrntec.com/dldcpack/141.html
产品结构：root->电动高空作业自行走平台专用PACK_动力电池PACK系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|电动高空作业自行走平台专用 PACK|146|该电池 PACK 应用于高空作业车辆，如臂车、剪叉车等。搭载自研 BMS，满足全场景应用。采用自研车规级 BMS，更加安全可靠；能量密度高，功耗低；智能化设计，具备 OTA、云平台功能；动态故障诊断，多模型融合 SOX 估算。|

型号,25.6V156Ah,25.6V210Ah,51.2V420Ah,76.8V600Ah,83.2V600Ah
成组方式,3P8S,2P8S,4P16S,2P24S,2P26S
容量（Ah）,156,210,420,600,600
系统电压（V）,25.6,25.6,51.2,76.8,83.2
最大持续电流（A）,150,210,400,400,400
电压范围（V）,20-29.2,20-29.2,40-58.4,60-87.6,65-94.9
总能量（kwh）,3.994,5.376,21.5,46.08,49.92
工作温度（℃）,-20-55,-20-55,-20-55,-20-55,-20-55
循环寿命,1200,1200,1200,1200,1200
热管理,充/放电加热,充/放电加热,充/放电加热,充/放电加热,充/放电加热
Pack重量,47.45,56.8,232.8,422,425
Pack尺寸,614x36x235,598x325x280,819x364x386x2,1080x630x490,1081x630x490
