产品网址：http://www.szsdws.com/product/?id=100002
产品结构：root->闪电万昇-深圳市闪电万昇科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|英特尔电脑处理器|Intel Pentium Gold 5405U SRFG1|周期短，多仓交货，交期快，24 小时应急机制|

基本信息  类型  CPU / Microprocessor  系列  Intel Pentium Dual-Core Mobile  处理器编号  5405U  部件号  CL8068404080706  频率  (GHz)  2.3  时钟倍频器  23  封装  类型  1528-ball FC-BGA  Socket  类型  BGA1528  架构 / 微体系结构 / Other  步进  V0  处理器内核  Whiskey Lake-U  制造技术（微米）  0.014  处理器多核数量  2  L2  缓存大小  (KB)  512  L3  缓存大小  (MB)  2  特征  AES  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  Hyper-Threading technology  MMX  SGX  SSE  SSE2  SSE3  SSE4  SSSE3  Virtualization technology (VT-d)  Virtualization technology (VT-x)  热设计功耗  (Watt)  15,图片展示
基本信息,基本信息
类型,CPU / Microprocessor
系列,Intel Pentium Dual-Core Mobile
处理器编号,5405U
部件号,CL8068404080706
频率  (GHz),2.3
时钟倍频器,23
封装  类型,1528-ball FC-BGA
Socket  类型,BGA1528
架构 / 微体系结构 / Other,架构 / 微体系结构 / Other
步进,V0
处理器内核,Whiskey Lake-U
制造技术（微米）,0.014
处理器多核数量,2
L2  缓存大小  (KB),512
L3  缓存大小  (MB),2
特征,AES  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  Hyper-Threading technology  MMX  SGX  SSE  SSE2  SSE3  SSE4  SSSE3  Virtualization technology (VT-d)  Virtualization technology (VT-x)
热设计功耗  (Watt),15


基本信息,基本信息.1
类型,CPU / Microprocessor
系列,Intel Pentium Dual-Core Mobile
处理器编号,5405U
部件号,CL8068404080706
频率  (GHz),2.3
时钟倍频器,23
封装  类型,1528-ball FC-BGA
Socket  类型,BGA1528
架构 / 微体系结构 / Other,架构 / 微体系结构 / Other
步进,V0
处理器内核,Whiskey Lake-U
制造技术（微米）,0.014
处理器多核数量,2
L2  缓存大小  (KB),512
L3  缓存大小  (MB),2
特征,AES  EM64T technology  Enhanced SpeedStep technology  Execute disable bit  Hyper-Threading technology  MMX  SGX  SSE  SSE2  SSE3  SSE4  SSSE3  Virtualization technology (VT-d)  Virtualization technology (VT-x)
热设计功耗  (Watt),15
