产品网址：https://www.bjyxjh.com/page153?product_category=84&brd=1
产品结构：root->伟肯vacon，VACON代理，莱姆传感器-北京一祥聚辉科贸有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|瑞士 LEM 传感器|无|工业级传感器、汽车级传感器|
|英飞凌单管|无|无|
|韩国 LS 电气|无|韩国 LS 电气|
|富士 IGBT|无|无|
|英飞凌 IGBT|无|无|
|西门康 IGBT|无|功率 IGBT 模块、功率可控硅模块、功率整流桥模块、平板晶闸管、二极管|
|瑞迪 IGBT|无|无|
|田村传感器|无|无|
|Bussmann 熔断器|FWA 130V 1000-4000A、FWA 150V 70-1000A、FWX 250V 35-2500A、FWH 500V 35-1600A、FWP 700V 5-1200A、FWJ 1000V 35-2000A、DIN 43 653、DIN 43 620、平端安装式、法式、美式、240V 6-900A、690V 6-700A、FWA 150V 5-60A、FWX 250V 1-30A、FWH 500V 0.25-30A、FWC 600V 6-32A、FWP 690V/700V 5-60A、FWK 750V 5-60A、FWJ 1000V 20-30A|无|
|芬兰 VACON 变频器|NXP、NXS、NXL、VACON 配件|无|
