产品网址：https://www.bjyxjh.com/page153?product_category=15&brd=1
产品结构：root->伟肯vacon，VACON代理，莱姆传感器-北京一祥聚辉科贸有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|标准型接触器 GMC 系列 300_800A|无|无|
|BKN 4P|无|无|
|框架式(ACB)开关 AN/AS/AH 型|无|无|
|塑壳断路器 MCCB|Metasol MCCB (TSM 型）、Meta-MEC MCCB (AB 型）、Susol MCCB (TD/TS 型)、漏电 ELCB （EB 型）|无|
|微断(BKN)/微型漏电断路器（RSN）|无|无|
|热继电器（GTH）|无|无|
|框架 (AH/AS/AN)|无|无|
|马达启动器(MMS)|无|无|
|双电源开关|无|无|
|PLC 可编程控制器|XGT 系列、XGB 系列、Master-K 系列、K120S、K200S、K300S|无|
|变频器|starvert 系列、LSLV-S100、LSLV-C100、高压变频器|无|
|触摸屏|无|无|
