产品网址：https://www.calterah.com/producttypes/board-alps
产品结构：root->加特兰微电子-开发板

|产品名称|产品型号|功能描述|
|--|--|--|
|Alps 4T4R 77/79 GHz Radar SoC|CAL77S244-AE|汽车级全集成毫米波雷达 SoC，具有 4 个发射通道和 4 个接收通道，工作频率为 76 GHz-81 GHz，支持多种功能，如 FMCW 波形生成、高速 ADC、雷达信号处理基带、CPU 等，还具备片内存储空间和多种外设接口，符合 AEC-Q100 规范和莱茵 TÜV 功能安全认证|
|Alps 2T4R 77/79 GHz Radar SoC|CAL77S224-AE|汽车级全集成毫米波雷达 SoC，具有 2 个发射通道和 4 个接收通道，工作频率为 76 GHz-81 GHz，支持多种功能，如 FMCW 波形生成、高速 ADC、雷达信号处理基带、CPU 等，还具备片内存储空间和多种外设接口，符合 AEC-Q100 规范和莱茵 TÜV 功能安全认证|
|Alps 4T4R 77/79 GHz Radar SoC AiP|CAL77S244-AB|汽车级全集成毫米波雷达 SoC（封装集成片上天线），具有 4 个发射通道和 4 个接收通道，封装集成片上天线，支持水平和俯仰探测，工作频率为 76 GHz-81 GHz，支持多种功能，如 FMCW 波形生成、高速 ADC、雷达信号处理基带、CPU 等，还具备片内存储空间和多种外设接口，符合 AEC-Q100 规范和满足功能安全 ISO 26262 ASIL-B|
|Alps 4T4R 77/79 GHz Radar SoC AiP|CAL77S244-IB|工业级全集成毫米波雷达 SoC（封装集成片上天线），具有 4 个发射通道和 4 个接收通道，封装集成片上天线，支持水平和俯仰探测，工作频率为 76 GHz-81 GHz，支持多种功能，如 FMCW 波形生成、高速 ADC、雷达信号处理基带、CPU 等，还具备片内存储空间和多种外设接口，通过工业级可靠性测试|
|Alps/Rhine 数据采集板|DCK-ALPS-ETHERNET|具有千兆以太网接口，支持实时 ADC 数据采集，支持同时进行雷达解算与原始数据采集，支持硬件在环调试|
|Alps 雷达开发平台|RDP-77S244-AEM-LYRA|天线设计支持方位向和俯仰向到达角测量，EIRP 为短距 24 dBm、长距 31 dBm，FOV（-6 dB）短距为方位向±40°、俯仰向±5°，长距为方位向±10°、俯仰向±5°，集成 Flash 和 JTAG，可连接数据采集板采集原始数据，具有便于使用的 USB 接口|
|Alps 雷达开发平台|RDP-77S244-AEM-VENUS|天线设计支持方位向和俯仰向到达角测量，EIRP 为 24 dBm@78 GHz，FOV（-6 dB）为方位向±40°、俯仰向±5°，集成 Flash 和 JTAG，可连接数据采集板采集原始数据，具有便于使用的 USB 接口|
|Alps 雷达开发平台|RDP-77S224-AEM-VENUS|天线设计支持方位向和俯仰向到达角测量，EIRP 为 24 dBm@78 GHz，FOV（-6 dB）为方位向±40°、俯仰向±5°，集成 Flash 和 JTAG，可连接数据采集板采集原始数据，具有便于使用的 USB 接口|
|Alps AiP 雷达开发平台|RDP-77S244-ABM-AIP|天线设计支持方位向和俯仰向到达角测量，封装集成天线，集成 Flash 和 JTAG，可连接数据采集板采集原始数据，具有便于使用的 USB 接口|
