产品网址：http://www.optifilter.com/product.asp?tid=92
产品结构：root->产品中心-无锡奥夫特光学技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|金属化蓝宝石光窗|无|可直接焊接或安装到光学机械装配上，实现气密性封装。广泛应用于光纤通信、红外探测、生物医疗、红外成像等领域|
|部分反射镜|无|基频高反，三倍频部分反射 1053nm 部分反射倾斜入射宽带部分反射|
|带通滤光片|无|900nm 带通滤光片 1064nm 窄带滤光片 365nm 窄带滤光片 777.4nm 带通滤光片|
|反射镜|无|1053nm 反射镜三波段反射镜 266nm 反射镜|
|分光镜|无|倍频分离镜短波通滤光片多波段分离镜|
|晶体镀膜|无|LBO 晶体镀膜石英转子|
|消偏振镜|无|部分代表性产品性能示例 45°合束镜 145°合束镜 245°部分反射镜|
|偏振片|无|部分代表性产品性能示例单波长偏振片 1 单波长偏振片 2|
|增透膜|无|应用于 KrF 激光器。要求反射率、吸收和散射损耗尽量小，同时要求阈值尽可能高.59°1064nm 增透膜：常用于激光器的谐振腔。要求偏振分量的透过率和阈值都尽可能|
|红外传感器晶圆封装窗口晶圆|无|应用于非制冷红外焦平面探测器。采用晶圆级封装技术，可有效降低成本，提高效率。要求波长 8~14μm 范围内的透过率尽可能高，同时要求四周预制金锡合金|
|红外光学窗口|无|红外前截止锗窗应用于非制冷红外探测器红外前截止硅窗应用于非制冷红外探测器|
|半导体高功率激光器基板|无|氮化铝陶瓷基板用于半导体高功率激光器芯片贴装载板，实现激光器芯片与外界良好的导热氧化铍陶瓷基板用于半导体高功率激光器芯片贴装载板，实现激光器芯片与外界良好的导热|
|陶瓷基板金属化|无|应用于陶瓷薄膜电路，LED 散热基板，陶瓷封装等。要求满足打线测试要求（MIL-STD883E）|
|红外光学滤波片|无|红外光学滤波片|
