产品网址：http://www.genvic.com/public/index/scheme/details/id/00000000029.html
产品结构：root->10W无线充-M0系列

|产品名称|产品型号|功能描述|
|----|----|----|
|10W 无线充-M0 系列|无|支持 WPC V1.2.4 最新标准认证，兼容 5W WPC 之前版本认证标准；支持功率达 5W/7.5W/10W 无线充电；支持 QC2.0，兼容 QC3.0 支持 9V 快充；支持三星全系列快充协议；方案效率高达 80%以上；功率自适应，支持低电流电源适配器；普通 FOD，接收设备和异物一起放上去，断开连接不充电；动态 FOD，充电过程中检测到异物，自动断开充电设备；双路解码，保证充电过程中的数据稳定性；灵敏识别接收设备，充电距离大于 2~10mm；带高温保护功能，有效放置过热引发的充电故障；输入电压电流检测防护，发射线圈过压防护；系统 LED 提示充电状态和故障状态：带呼吸灯效果以及独立指示灯供用户选择；长期温度范围：0°C~75°C|

方案名称,10W  无线充
主控芯片,GV030  系列系列无线充电专用芯片
主控封装  形式,QFN32/SSOP20
方案形式,MCU+  全桥芯片（  QFN  ）
方案效率,>80%
支持功率,5W /7.5W/ 10w
Qi  认证,支持  Qi 2.1.4 Base  版本的认证
快充协议,"支持  QC2.0,  兼容  QC3.0  ，支持三星全系列快充协议"
充电协议解码方式,双路解码
异物检测,普通  FOD  ，动态  FOD
充电距离,>  2  mm  ~  10  mm
保护,高温保护，电压，电流，发射线圈过压防护
用户指示交互,充电状态，故障，呼吸灯等
温度范围,0  °C  ~ 75  °
