产品网址：http://latticeart.com/product_category.php?id=18
产品结构：root->智能功率模块|产品中心|晶艺半导体有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|智能功率模块|无|无|

产品型号,架构,功率管规格,功率器件类型,特色功能,封装
LAD1M0250,Half-Bridge,500V/2A,FR-MOSFET,UVLO，DeadTime，TSD,DIP8
LAD1M0261,Half-Bridge,600V/2A,FR-MOSFET,BSD，UVLO，DeadTime，TSD,DIP-8
LAM3N1560,Three-Phase,600V/15A,IGBT&FRD,DBC-substrate，UVLO，VOT/TSD，OCP，FO,DIP25
LAM3N2060,Three-Phase,600V/20A,IGBT&FRD,DBC-substrate，UVLO，VOT/TSD，OCP，FO,DIP25
LAM3N3060,Three-Phase,600V/30A,IGBT&FRD,DBC-substrate，UVLO，VOT/TSD，OCP，FO,DIP25
LAS1M0250,Half-Bridge,500V/2A,FR-MOSFET,UVLO，DeadTime，TSD,LasSOP-10
LAS1M0261,Half-Bridge,600V/3A,FR-MOSFET,BSD，OCP，FO/SD，UVLO，DeadTime，TSD,LasSOP-10
LAS1M0450,Half-Bridge,500V/4A,FR-MOSFET,UVLO，DeadTime，TSD,LasSOP-10
LAS1M0461,Half-Bridge,600V/4A,FR-MOSFET,BSD，OCP，FO/SD，UVLO，DeadTime，TSD,LasSOP-10
LAS1M0750,Half-Bridge,500V/7A,FR-MOSFET,UVLO，DeadTime，TSD,LasSOP-10
LAS1M0751,Half-Bridge,500V/7A,FR-MOSFET,BSD，OCP，FO/SD，UVLO，DeadTime，TSD,LasSOP-10
LAS1M0761,Half-Bridge,600V/7A,FR-MOSFET,BSD，OCP，FO/SD，UVLO，DeadTime，TSD,LasSOP-10
LAS1N0561,Half-Bridge,650V/5A,IGBT&FRD,BSD，OCP，FO/SD，UVLO，DeadTime，TSD,LasSOP-10
