产品网址：http://www.haier-ic.com/product/product_C.html
产品结构：当前位置：首页->芯片及方案->音视频解码芯片

|产品名称|产品型号|功能描述|
|--|--|--|
|Hi2610H8 芯片|Hi2610H8|用于 DTMB 高清接收机、DVB-C、单项高清、高清 IPTV 机顶盒产品|
|Hi2610H7 芯片|Hi2610H7|用于 DTMB 高清机顶盒产品|
|Hi2318 芯片|Hi2318|用于 DTMB 地面数字电视接收机产品|
|Hi2312 芯片|Hi2312|集成了高性能的硬件 JPEG 解码器，能够处理最大 64M 像素的 JPEG 图片。内部集成了高性能的视频解码引擎，可以支持 MPEG/1/2/4，H.264,AVS,AVS+等系列的视频格式解码|
|Hi2610A2 芯片|Hi2610A2|集成了高性能的硬件 JPEG 解码器，能够处理最大 64M 像素的 JPEG 图片。内部集成了高性能的视频解码引擎，可以支持 MPEG/1/2/4，H.264,AVS，AVS+等系列的视频格式解码|
|Hi2610A1 芯片|Hi2610A1|为机顶盒等多媒体播放市场开发的一款集成 32 位嵌入式 MCU 的高性能、高集成度的媒体播放芯片，以电视为显示终端。为用户提供高性价比的机顶盒解决方案。内部集成了高性能的视频解码引擎，可以支持 MPEG/1/2/4，H.264，AVS，AVS+等系列的视频解码格式|
|IP 智能盒|无|高清网络智能机顶盒，采用海尔公司自主开发的 Hi2610H8 方案，核心控制芯片 Hi2610H8，采用 BGA 封装，高集成度设计，系统采用总线式结构，嵌入式软件设计，整机稳定可靠，性能优良|
|高清有线机顶盒|无|高清有线 DVBC 机顶盒，采用海尔公司自主开发的 Hi2610H8 方案，核心控制芯片 Hi2610H8，采用 BGA 封装，高集成度设计，系统采用总线式结构，嵌入式软件设计，整机稳定可靠，性能优良|
|DTMB 地面数字接收机|无|符合 DTMB(GB/T 26685-2011)标准，能够支持 DTMB 标准中的所有模式组合，单载波与多载波性能都达到了业界领先水平。机身带一路左右声道音频输出，一路复合视屏输出，一路 RF 输入，能满足不同用户的音频输出要求，还可以通过 USB、串口或空中升级|
|DTMB 迷你机顶盒|无|采用 EDTMB 技术，单多载波全模式无线接收，观看体验更佳；同时支持 DTMB 和 DVBC；MPEG-2、AVS、AVS+、H.264 四种视频解码格式；具备 EPG、CA、loader 等数字电视通用功能；支持 USB 升级；支持电视机 USB 供电；支持 UCAS；外观简洁时尚，装配方便，是电视机的最佳伴侣|
|DTMB 手机电视|无|基于国家 DTMB 地面数字电视标准，支持 USB2.0 高速传输协议。支持多种音视频解码：MPEG2、MP4、H.264、AVS、AVS+等。支持市面高通方案、MTK 方案、华为方案、各种品牌的安卓手机。可扫码下载手机客户端 APP，安装方便简单。不走手机流量，免费看电视直播|
|DTMB PC 端电视棒|无|支持 USB2.0 高速传输协议标准，软件自动安装，无需手工操作和存储光盘，符合即插即用；支持国家 DTMB 地面数字电视标准，有极强的地面信号接收能力，同时兼容 DVB C 标准；支持 Win 10 \Win8\Win7\Win XP，兼容 64 位、32 位系统|
