产品网址：https://www.sensylink.com/html/web/aboutus/news/chanpinfabu/index.html
产品结构：root->SensyLink

|产品名称|产品型号|功能描述|
|--|--|--|
|系统级热管理芯片|CTF230X 系列|内置振动多点温度传感器，可实现风扇转速监控、环境温度闭环控制、风扇工况诊断及电压监测，广泛应用于 WiFi 路由器、PC 笔记本以及工业应用等目标场景|
|开关型电平转换器|无|具有较宽的工作电压范围，芯片自动识别电平转换方向，减轻工程师的设计负担，采用行业标准引脚排布和标准封装，可实现通用型号的无感替代|
|I2C 开关芯片|无|可提供二、四、八路 I2C 开关或多路选通器产品，支持各端口工作在不同的电压域，提供复位、中断等功能选项，提供丰富的封装选择和符合行业标准的引脚排布，可实现通用型号的无感替代|
|GPIO 扩展芯片|无|可提供完备的 I/O 扩展产品，涵盖了四、八、十六个 I/O 端口扩展，支持通信端口和 I/O 端口使用不同的电压域，提供复位、中断、内部上拉电阻等不同组合，提供丰富的封装选择和符合行业标准的引脚排布，可实现通用型号的无感替代|
|双向电流/功率监测器|CAD2726|为实现双碳目标和节能减排，设备需对内部各高功率部件或关键节点进行精准的功耗探测和监控，以进一步优化系统能耗设计，或者，系统需要实时检测某线路电流，以此电流数据为输入进行系统闭环控制或者过流保护|
|数字温湿度传感器|CHT8555|温度分辨率可达 0.015625℃，具有±0.1℃的精度，湿度分辨率可达 0.02%RH，精度为±3.0%RH，可覆盖宽电压范围 1.35V - 5.5V 的应用，在 3.3V 电源下每秒采集一次温湿度数据时，平均工作电流仅为 2.0uA(Typ.)，在待机模式下，电流消耗为 40nA(Typ.)，兼容 I2C/SMBus 协议，支持 PEC 功能，提升与主机通讯的鲁棒性与可靠性，同时支持 time-out 功能，速度支持最快达 1.0MHz（FM+），适用于电池供电的超低功耗系统|
|总线式脉冲计数接口数字温度传感器|CT1721|分辨率为 0.0625℃或 0.1℃，输出的脉冲，支持连续输出、单次输出两种模式，满足高、中、低端 MCU 尤其是低成本 MCU 对于脉冲中断计数的处理，提供 4 种封装类型：TO-92S-2，SOT-23，DFN1.6x0.8-2，CSP-4 满足不同应用场景，精度：±0.5℃ (-10℃ to 80℃)，±1.0℃ (-50℃ to 150℃)，对于 CSP-4 封装，可以提供更高的测温精度：±0.25℃ (-10℃ to 80℃)，±0.75℃ (-50℃ to 150℃)|
|数字高精度+超低功耗+宽电压温湿度传感器芯片|CHT8315|温度分辨率可达 0.03125℃，具有±0.5℃的精度，湿度分辨率可达 0.02%RH，精度为±5.0%RH，可覆盖宽电压范围 1.35V - 5.5V 的应用，在 3.3V 电源下每秒采集一次温湿度数据时，平均工作电流仅为 1.0uA(Typ.)，在待机模式下，电流消耗为 35nA(Typ.)，兼容 I2C/SMBus 协议，支持 PEC 功能，提升与主机通讯的鲁棒性与可靠性，同时支持 time-out 功能，速度支持最快达 3.4MHz（HSM, high-speed mode），最多支持 4 种从地址设置，可灵活设置温湿度上下限报警值，提供系统唤醒，无需微控制器连续监控，具有报警加速检测功能，适用于电池供电的超低功耗系统|
|数字温度传感器芯片|CT7117|分辨率可达 0.0078125℃，具有±0.1℃的高精度，可覆盖更宽电压范围至 1.4V~5.5V 的应用，且功耗更低，在 3.3V 电源下每秒采集一次温度数据时，平均工作电流仅为 3.0uA(Typ.)，在待机模式下，电流消耗为 30nA(Typ.)，兼容 I²C/SMBus 协议，支持 PEC 功能，提升与主机通讯的鲁棒性与可靠性，同时支持 time-out 功能，速度支持最快达 3.0MHz（HSM, high-speed mode），最多支持 8 种从地址设置|
|预编程数字温度开关芯片|CT1722|在出厂前预先编程设置温度阈值，一旦温度到达或者超过预设的温度阈值，芯片将输出稳定的逻辑电平信号，直到温度下降到释放温度值，特别适用于数字电源、电缆等没有 MCU 但同时需要监控温度的应用场景，USB4 标准已经明确，全面兼容 Type-C, USB PD，传输功率最大到 100W，因此在 USB4 产品里增加温度监测是非常必要的，CSP-3 封装超小的体积(W x L x T =0.64x0.87x0.55)，特别适合放置在 USB4 Cable 内|
|数字温湿度度传感器|CHT8305/C|通过 I2C 通信接口读取测量的温度和湿度值，温度的最大误差为±0.5℃，湿度的最大误差为±3.0%RH，可以通过设置 A0 引脚产生 4 个不同的 I2C 地址|
|单总线协议温湿度传感器|CHT1305|在第一代传感器的基础上，进一步降低功耗(平均工作电流：1.8uATyp.，待机电流：100nA Typ.)，拓宽工作电压范围，支持 2.2V - 5.5V，以及改进湿度测量的误差，尤其是回流焊造成的湿度测量漂移，支持 Single-Wire 通信发送单温度测量，单湿度测量，温湿度同时测量命令以及读取测量的温度和湿度值，并且支持与申矽凌单总线（Single-Wire）协议温度传感器 CT1820/B/S 混接使用|
