产品网址：https://www.sensylink.com/html/web//product/wdcgq/mnwdcgq/index.html
产品结构：首页->产品中心->温度传感器芯片->模拟输出温度传感器

|产品名称|产品型号|功能描述|
|--|--|--|
|模拟输出温度传感器|CT7035A|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035B|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035C|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035D|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035E|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035F|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035G|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035J|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
|模拟输出温度传感器|CT7035K|实现高度线性的输出电压-温度，低功耗，不需要补偿电路、查找表或校准，比 NTC 热敏电阻传感器更易于使用|
