产品网址：https://en.taixin-semi.com/Product?prouctSubClass=21
产品结构：root->珠海泰芯半导体有限公司-产品中心

|产品名称|产品型号|功能描述|
|--|--|--|
|电机驱动 MCU|TX8M2260|TX8M2260 是一款高性能低功耗的 8051 内核 MCU，工作主频最高为 48MHz，内置 16K 字节闪存存储器，2K 字节 SRAM。模拟资源：1 个 12 位 500KSPS 的 SARADC、2 个多功能比较器，3 个运算放大器。定时器资源：6 个 16 位高级定时器（1 对互补 PWM，带死区控制）、5 个 16 位通用定时器（都支持 Capture、Count、PWM 功能）、1 个 16 位唤醒定时器（都支持 Capture、Count、PWM 功能）、1 个 8 位蜂鸣器（支持计数器功能）、1 个看门狗定时器。标准的通信接口：1 个 SPI 接口、1 个 IIC 接口和 2 个 UART 接口（其中 Uart1 支持 DMA 工作方式）。GPIO：多达 26 个可编程 IO，内置 30K 上下拉电阻，多个驱动档位可配置，每个 IO 都可以作为 ADC 的输入，每个 IO 都可以作为 IO 中断唤醒口。硬件加速模块：支持有符号数/无符号数的数学计算功能包括 32 位/16 位除法，16 位/16 位除法，16 位 x16 位乘法，16 位+16 位加法，16 位-16 位减法，32 位开平方。支持宽范围电压供电，工作电压为 2.4V∼5.5V（可以支持电池应用场景），工作温度范围-40℃ - 85℃。多种省电工作模式保证低功耗应用的要求，最低功耗模式<5uA。TX8M2260 提供 SSOP24、SSOP28 等多种封装形式，根据不同的封装形式，器件中的外设资源配置不尽相同。应用场合：小家电、电机控制产品|

Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,LED  （com*seg）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,DAC,ACMP,PGA,CRC,Code Encryption,LPM
Total:  5  Match:  5,,SSOP28  SSOP24  QFN24,,,,,2*128  128,26  22,,-40 ~ 85  -40 ~ 105,,,,,,,,,,,,,,,5ua  <5ua
Compare,,,,,,,,,,,,,,,,,,,,,,,,,
Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,LED  （com*seg）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,DAC,ACMP,PGA,CRC,Code Encryption,LPM
Total:  5  Match:  5,,SSOP28  SSOP24  QFN24,8051,48,16,2048,2*128  128,26  22,2.4 ~ 5.5,-40 ~ 85  -40 ~ 105,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,3,1,√,5ua  <5ua
Compare,,,,,,,,,,,,,,,,,,,,,,,,,
,TX8M2260QF24,QFN24,8051,48,16,2048,128,22,2.4 ~ 5.5,-40 ~ 105,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,3,1,√,<5ua
,TX8M2100SS24,SSOP24,8051,48,16,2048,2*128,22,2.4 ~ 5.5,-40 ~ 85,,6*16bit,5*16bit,1,6,2,1,1,22,2,2,3,1,√,5ua
,TX8M2260SS24,SSOP24,8051,48,16,2048,2*128,22,2.4 ~ 5.5,-40 ~ 105,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,3,1,√,5ua
,TX8M2200SS28,SSOP28,8051,48,16,2048,2*128,26,2.4 ~ 5.5,-40 ~ 85,,6*16bit,5*16bit,1,6,2,1,1,22,2,2,3,1,√,5ua
,TX8M2260SS28,SSOP28,8051,48,16,2048,2*128,26,2.4 ~ 5.5,-40 ~ 105,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,3,1,√,5ua
