产品网址：https://www.taixin-semi.com/Product?prouctSubClass=26#
产品结构：root->珠海泰芯半导体有限公司-产品中心

|产品名称|产品型号|功能描述|
|--|--|--|
|TX8C1261|TX8C1261|高性能低功耗的 8051 内核 MCU，工作主频最高为 48MHz，内置 16K 字节闪存存储器，2K 字节 SRAM。模拟资源包括 1 个 12 位 500Ksps 的 SARADC（带采样保持功能）、2 个多功能比较器，3 个运算放大器。定时器资源包括 1 个 16 位高级定时器（3 对互补 PWM，带死区控制）、5 个 16 位通用定时器（都支持 Capture、Count、PWM 功能）、1 个 32 位通用定时器、1 个看门狗定时器。标准的通信接口包括 1 个 SPI 接口，1 个 IIC 接口和 2 个 UART 接口。支持宽范围电压供电，工作电压为 2.4V∼5.5V，工作温度范围-40℃∼105℃。多种省电工作模式保证低功耗应用的要求，最低功耗模式<5uA。提供 TSSOP20、SOP16、SSOP20、QFN20、TSSOP20、QFN24、QFN20、SSOP24、SSOP28 等多种封装形式，根据不同的封装形式，器件中的外设资源配置不尽相同。应用场合包括血氧仪、额温枪等消费级医疗产品，风机、风扇等电机驱动和应用控制，智能手表、运动手环等智能可穿戴应用，物联网、智能家居，蓝牙充电仓、无线充，货物电子标签等智慧零售应用，覆盖 003 系列 mcu 产品的应用。|

添加 / 隐藏  参数列表,型号,封装类型,主控,主频  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,工作电压  (V),工作温度  （℃）,LED  （com*seg）,高级Timer,通用Timer,Watchdog,PWM,UART,SPI,IIC,ADC,DAC,ACMP,PGA,CRC,代码加密,低功耗
总数:  7  匹配:  7,,SSOP20  TSSOP20  SSOP24  QFN20  QFN24  SSOP28  SOP16,,,,,,18  20  22  26  14,,,8*10  8*12  3*3,,,,,,,,18  22  26  14,2  1,2  1,2  3,√  1,,
比较,,,,,,,,,,,,,,,,,,,,,,,,,
,TX8C1261SO16,SOP16,8051.0,48.0,16.0,2048.0,128.0,14,2.4 ~ 5.5,-40 ~ 105,3*3,6*16bit,5*16bit,1.0,6.0,2.0,1.0,1.0,14,2,2,2,√,√,<5ua
,TX8C1261SS28,SSOP28,8051.0,48.0,16.0,2048.0,128.0,26,2.4 ~ 5.5,-40 ~ 105,8*12,6*16bit,5*16bit,1.0,6.0,2.0,1.0,1.0,26,2,2,3,1,√,<5ua
,TX8C1261QF24,QFN24,8051.0,48.0,16.0,2048.0,128.0,22,2.4 ~ 5.5,-40 ~ 105,8*12,6*16bit,5*16bit,1.0,6.0,2.0,1.0,1.0,22,2,2,2,1,√,<5ua
,TX8C1261QF20,QFN20,8051.0,48.0,16.0,2048.0,128.0,18,2.4 ~ 5.5,-40 ~ 105,8*10,6*16bit,5*16bit,1.0,6.0,2.0,1.0,1.0,18,1,1,2,1,√,<5ua
,TX8C1261SS24,SSOP24,8051.0,48.0,16.0,2048.0,128.0,20,2.4 ~ 5.5,-40 ~ 105,8*12,6*16bit,5*16bit,1.0,6.0,2.0,1.0,1.0,22,2,2,2,√,√,<5ua
,TX8C1261TS20,TSSOP20,8051.0,48.0,16.0,2048.0,128.0,18,2.4 ~ 5.5,-40 ~ 105,8*10,6*16bit,5*16bit,1.0,6.0,2.0,1.0,1.0,18,2,2,2,√,√,<5ua
,TX8C1261SS20,SSOP20,8051.0,48.0,16.0,2048.0,128.0,18,2.4 ~ 5.5,-40 ~ 105,8*10,6*16bit,5*16bit,1.0,6.0,2.0,1.0,1.0,18,2,2,2,√,√,<5ua


标题,主版本,子版本,更新时间
TX8C126x 用户手册_V1.17,1,1.17,2023-10-19
TX8C126x_SDK_V1.2.3_20221110,1,1.2.3,2023-03-20
TX8C1261 数据手册_V1.25,1,1.25,2024-04-03
TXLink_keil_C51_driver_install_V1.3.8,1,1.3.8,2023-03-20
TXProgrammer_V2.1.37.sfx,1,2.1.37,2023-03-20
