产品网址：https://en.taixin-semi.com/Product?productClassId=6
产品结构：root->珠海泰芯半导体有限公司-产品中心

|产品名称|产品型号|功能描述|
|--|--|--|
|触控 MCU|TX8T3260|TX8T3260 是一款高性能低功耗的 8051 内核 MCU，工作主频最高为 48MHz，内置 16K 字节闪存存储器，2K 字节 SRAM。模拟资源：1 个 12 位 500KSPS 的 SARADC、Touch Key 模拟模块支持 26 个通道。定时器资源：6 个 16 位高级定时器（1 对互补 PWM，带死区控制）、5 个 16 位通用定时器（都支持 Capture、Count、PWM 功能）、1 个 16 位唤醒定时器（都支持 Capture、Count、PWM 功能）、1 个 8 位蜂鸣器（支持计数器功能）、1 个看门狗定时器。标准的通信接口：1 个 SPI 接口、1 个 IIC 接口和 2 个 UART 接口（其中 uart1 支持 DMA 工作方式）。LED 显示功能：支持多达 8com x 12seg。GPIO：多达 26 个可编程 IO，内置 30K 上下拉电阻，多个驱动档位可配置，每个 IO 都可以作为 ADC 的输入，每个 IO 都可以作为 IO 中断唤醒口。支持宽范围电压供电，工作电压为 2.4V∼5.5V（可以支持电池应用场景），工作温度范围-40℃ - 85℃。多种省电工作模式保证低功耗应用的要求，最低功耗模式<5uA。TX8T3260 提供 SOP28 等封装形式，根据不同的封装形式，器件中的外设资源配置不尽相同。应用场合：小家电、触控+LED 系列 MCU 产品的应用|

Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,TouchKey,LED  （com*seg）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,DAC,ACMP,CRC,Code Encryption,LPM
Total:  9  Match:  9,,SOP28  SOP24  SOP20  SSOP28  TSSOP20  SOP16,,24  48,,,,26  22  18  14,,-40 ~ 85  -40 ~ 105,26  18  14,8*12  8*10  8*6,,,,,,,,22  14  26  18,2  0,2  0,,,5ua  5uA
Compare,,,,,,,,,,,,,,,,,,,,,,,,,
Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,TouchKey,LED  （com*seg）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,DAC,ACMP,CRC,Code Encryption,LPM
Total:  9  Match:  9,,SOP28  SOP24  SOP20  SSOP28  TSSOP20  SOP16,8051,24  48,16,2048,2*128,26  22  18  14,2.4 ~ 5.5,-40 ~ 85  -40 ~ 105,26  18  14,8*12  8*10  8*6,6*16bit,5*16bit,1,6,2,1,1,22  14  26  18,2  0,2  0,1,√,5ua  5uA
Compare,,,,,,,,,,,,,,,,,,,,,,,,,
,TX8T3260SS28,SSOP28,8051,48,16,2048,2*128,26,2.4 ~ 5.5,-40 ~ 105,26,8*12,6*16bit,5*16bit,1,6,2,1,1,26,0,0,1,√,5uA
,TX8T3260TS20,TSSOP20,8051,48,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 105,18,8*10,6*16bit,5*16bit,1,6,2,1,1,18,0,0,1,√,5uA
,TX8T3260SO20,SOP20,8051,48,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 105,18,8*10,6*16bit,5*16bit,1,6,2,1,1,18,0,0,1,√,5uA
,TX8T3260SO16,SOP16,8051,48,16,2048,2*128,14,2.4 ~ 5.5,-40 ~ 105,14,8*6,6*16bit,5*16bit,1,6,2,1,1,14,0,0,1,√,5uA
,TX8T3200SO20,SOP20,8051,24,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 85,26,,6*16bit,5*16bit,1,6,2,1,1,14,2,2,1,√,5ua
,TX8T3200SO24,SOP24,8051,24,16,2048,2*128,22,2.4 ~ 5.5,-40 ~ 85,26,8*12,6*16bit,5*16bit,1,6,2,1,1,14,2,2,1,√,5ua
,TX8T3200SO28C,SOP28,8051,24,16,2048,2*128,26,2.4 ~ 5.5,-40 ~ 85,26,8*12,6*16bit,5*16bit,1,6,2,1,1,14,2,2,1,√,5ua
,TX8T3200SO28B,SOP28,8051,24,16,2048,2*128,26,2.4 ~ 5.5,-40 ~ 85,26,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,1,√,5ua
,TX8T3200SO28,SOP28,8051,24,16,2048,2*128,26,2.4 ~ 5.5,-40 ~ 85,26,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,1,√,5ua
