产品网址：http://en.szrd.com/product/detail/57
产品结构：CurrentLocation:Home->Positivephotoresist

|产品名称|产品型号|功能描述|
|--|--|--|
|Positive photoresist for display|RD-PFR/PFS、RD-PTL500、RD-PTH800 系列|用于显示领域：TN/STN-LCD 的 ITO 电极制造；TP、Mo/Al/Mo Sensor 的 ITO 电极制造；TFT-LCD/OLED 等的 TFT 背板制造|




Items,Series products,Main  parameters
1,RD-PFR/PFS series,"Moisture: <0.5%; particles (0.5um particles, /ml):<100; trace metals (K, Na, Fe, ppb): <500; film thickness: 1.2~2.2um; resolution: 2um (g+h+i exposure)"
2,RD-PTL500  series,"Moisture: <0.5%; particles (0.5um particles, /ml):<100; trace metals (K, Na, Fe, ppb): <300; film thickness: 1.4~2.2um; resolution: 1.5um (g+h+i exposure)"
3,RD-PTH800  series,"Moisture: <0.5%; particles (0.5um particles, /ml):<100; trace metals (K, Na, Fe, ppb): <500; film thickness: 1.4~2.2um; resolution: 1.5um (g+h+i exposure)"


Items,Series products,Main  parameters
1,RD-PFR/PFS series,"Moisture: <0.5%; particles (0.5um particles, /ml):<100; trace metals (K, Na, Fe, ppb): <500; film thickness: 1.2~2.2um; resolution: 2um (g+h+i exposure)"
2,RD-PTL500  series,"Moisture: <0.5%; particles (0.5um particles, /ml):<100; trace metals (K, Na, Fe, ppb): <300; film thickness: 1.4~2.2um; resolution: 1.5um (g+h+i exposure)"
3,RD-PTH800  series,"Moisture: <0.5%; particles (0.5um particles, /ml):<100; trace metals (K, Na, Fe, ppb): <500; film thickness: 1.4~2.2um; resolution: 1.5um (g+h+i exposure)"
