产品网址：http://en.eliteoptronics.com/Product/index.htm
产品结构：root->Products-WuhanEliteOptronicsCo.,Ltd

|产品名称|产品型号|功能描述|
|--|--|--|
|1310nm 2.5G FP chip|无|无|
|1310nm 10G FP chip|无|无|
|1270nm 2.5G DFB chip|无|无|
|1310nm 2.5G DFB Chip|无|无|
|1490nm 2.5G DFB chip|无|无|
|1310nm 10G DFB chip|无|无|
|10G BiDi 1270/1330nm DFB chip|无|无|
|10G CWDM 1271/1291/1311/1331/1351/1371nm DFB chip|无|无|
|10G CWDM 1471/1491/1511/1531/1551/1571nm DFB chip|无|无|
|1310nm 25G DFB chip|无|无|
|25G BiDi 1270/1330nm DFB chip|无|无|
|25G CWDM4 DFB Chip|无|无|
|1550nm 10G EML chip|无|无|
|1310nm 25G EML chip|无|无|
|2.5G PIN PD chip|无|无|
|10G PIN PD chip|无|无|
|25G PIN PD chip|无|无|
|4*25G PIN PD chip|无|无|
|50G PIN PD Chip|无|无|
|2.5G 1310nm FP TO-CAN|无|无|
|2.5G 1270nm DFB TO-CAN|无|无|
|2.5G 1310nm DFB TO-CAN|无|无|
|2.5G 1490nm DFB TO-CAN|无|无|
|10G 1310nm FP TO-CAN|无|无|
|10G 1270nm DFB TO-CAN|无|无|
|10G 1310nm DFB TO-CAN|无|无|
|10G BiDi 1270/1330nm DFB TO-CAN|无|无|
|10G CWDM 1271/1291/1311/1331/1351/1371nm DFB TO-CAN|无|无|
|10G CWDM 1471/1491/1511/1531/1551/1571nm DFB TO-CAN|无|无|
|25G 1310nm EML TO-CAN|无|无|
|25G 1310nm DFB TO-CAN|无|无|
|25G BIDI 1270/1330nm DFB TO-CAN|无|无|
|CWDM 25G 1271/1291/1311/1331/1351/1371nm DFB TO-CAN|无|无|
|2.5G PIN-TIA TO-CAN|无|无|
|2.5G Super TIA PD TO-CAN|无|无|
|10G PIN-TIA TO-CAN|无|无|
|25G PIN-TIA TO-CAN|无|无|
|10G Burst Transimpedance Amplifier|无|无|
