产品网址：http://www.szgeelly.com/product/66.html?productCateId=53
产品结构：root->5-10公斤柜式熔炼炉_深圳市聚力感应技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|5-10 公斤柜式熔炼炉|无|主要采用本公司生产的高频、超高频、中频电源作为熔炼主机，使得熔炉整体体积小，高效节能环保。主要用于熔炼金、银、铜、铁、不锈钢、铂金、稀土金属、硅镍铅等各种金属，温度超过 2000℃。具有电磁搅拌能力，熔炼更均匀，质量高。可熔炼颗粒、块状、超高温金属等。主要采用石墨坩埚，也可以用小的陶瓷类坩埚，熔炼时间 30 秒--5 分钟。设备体积小、重量轻、操作简单方便、高效节能，具备单相 220V 输入电源，可以用于家庭作业。|

一体式感应熔金炉 Dest-top Induction Melting Furnace,一体式感应熔金炉 Dest-top Induction Melting Furnace.1,一体式感应熔金炉 Dest-top Induction Melting Furnace.2,一体式感应熔金炉 Dest-top Induction Melting Furnace.3,一体式感应熔金炉 Dest-top Induction Melting Furnace.4
标准型 Normal type,GXF-12RG,GXF-20RG,GXF-30RG,GXF-40RG
温控型  Temperature control type,GXF-12RG-T,GXF-20RG-T,GXF-30RG-T,GXF-40RG-T
功率Power,10-15KW,20KW,30kw,40KW
输入电压 Input voltage,220V single phase,380V/415v/480v three phase 50 or 60HZ,380V/415v/480v three phase 50 or 60HZ,380V/415v/480v three phase 50 or 60HZ
冷却水要求Cooling water,≥0.2MPa 10L/min,≥0.2MPa 10L/min,≥0.2MPa 10L/min,≥0.2MPa 10L/min
温控型温度范围  Temperature control range,400---1200℃ 或600-2000℃ 根据客户要求配置合适的测温装置,400---1200℃ 或600-2000℃ 根据客户要求配置合适的测温装置,400---1200℃ 或600-2000℃ 根据客户要求配置合适的测温装置,400---1200℃ 或600-2000℃ 根据客户要求配置合适的测温装置
坩埚材料 Crucible,石墨 石英 Graphite&quartz&ceramic,石墨 石英 Graphite&quartz&ceramic,石墨 石英 Graphite&quartz&ceramic,石墨 石英 Graphite&quartz&ceramic
容量 Capacity,1-5KG,2--8KG,3--10KG,3-15kg
熔炼时间 Melting time,1-5分钟minutes,1-5分钟minutes,1-5分钟minutes,1-5分钟minutes
重量Weight of generator,70KG,85KG,90KG,110KG
