产品网址：http://www.szgeelly.com/product/154.html
产品结构：root->石墨坩埚熔炼炉5-200kg_深圳市聚力感应技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|石墨坩埚熔炼炉|5-200kg|主要采用高频、超高频、中频电源作为熔炼主机，体积小，高效节能环保，可熔炼金、银、铜、铁、不锈钢、铂金、稀土金属、硅镍铅等各种金属，温度超过 2000℃，分为中频、高频、超高频熔炼炉，中频熔炼炉容量 5 公斤—150 公斤，高频和超高频熔炼低于 20 公斤，突出优点是体积小、省电环保，比一般电炉节省 30-40%电量|

主要规格  Main Model,最大输入功率Max.input power,常用材料的熔炼能力  Smelting capacity,常用材料的熔炼能力  Smelting capacity.1,熔炼时间 Melting time
主要规格  Main Model,最大输入功率Max.input power,"钢、不锈钢、铝 Iron,Stainless steel,Aluminum","黄铜、铜、金、银 Copper,Brass,Silver,Gold",熔炼时间 Melting time
GMF-15熔炼炉melting furnace,15KW,,10KG,"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed."
GMF-25熔炼炉melting furnace,25KW,5KG,20KG,"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed."
GMF-35熔炼炉melting furnace,35KW,10KG,30KG,"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed."
GMF-45熔炼炉melting furnace,45KW,18KG,50KG,"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed."
GMF-70熔炼炉melting furnace,70KW,25KG,100KG,"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed."
GMF-90熔炼炉melting furnace,90KW,40KG,120KG,"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed."
GMF-110熔炼炉melting furnace,110KW,50KG,160KG,"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed."
"冷炉时，每炉熔炼时间为50--60分钟；热炉时，每炉熔炼时间为20--30分钟。50 to 60 minutes are needed to finish one melting process at cool status of the furnace, at hot status of the furnace, 20 to 30 minutes are needed.",,,,
