产品网址：http://zc-power.com/a/chanpinjiejuefangan/chanpinjiejuefangan/znzd/index.html
产品结构：root->产品解决方案/产品解决方案/智能终端_北京中宸微电子有限公司官网

|产品名称|产品型号|功能描述|
|--|--|--|
|国网集中器 I 型|无|低压用户集中抄表，用户侧电压合格率采集，配电变压器分相供电量考核计量，三相电压合格率统计，各次谐波含有率等|
|国网采集器 I 型|无|工作电压：220V±20％，频率范围：50Hz±5％，工作环境：温度-45℃～+75℃，相对湿度≤95％，符合 DL/T645-1997、DL/T645-2007 通信规约，使用寿命≥10 年，实现对集中器命令的转发，并将电表数据回传|
|国网采集器 II 型|无|工作电压：220V±20％，工作环境：温度-45℃～+75℃，相对湿度≤95％，符合 DL/T645-1997、DL/T645-2007 通信规约，使用寿命≥10 年，实现对集中器命令的转发，并将电表数据回传，具备红外维护接口|
|国网专变采集终端 III 型|无|通信协议：Q/GDW1376.1-2013、Q/GDW1376.2-2013、Q/GDW1376.3-2013、IEC-62056，电压、功率差动比较功能，三相电压合格率统计功能，各次谐波含有率、总谐波畸变率测量统计功能，具有抄表功能，遥信等|
|南网集中器 I 型|无|符合南方电网公司《Q/CSG11109006-2013 计量自动化终端外形结构规范》、《Q/CSG11109003-2013 低压电力用户集中抄表系统集中器技术规范》，低压用户集中抄表，电能表数据处理上传功能，具有与等|
|南网采集器|无|工作电压：220V±30％，频率范围：50Hz±5％，工作环境：温度-45℃～+75℃，相对湿度≤95％，符合 DL/T645-1997、DL/T645-2007 通信规约，使用寿命≥10 年，实现对集中器命令的转发，并将电表数据回传|
|配变监测计量终端|无|符合南方电网公司《Q/CSG11109006-2013 计量自动化终端外形结构规范》、《Q/CSG11109007-2013 配变监测计量终端技术规范》，低压用户集中抄表功能，电能表数据处理上传功能，用户侧电压合格率等|
|负荷管理终端|无|符合南方电网公司《Q/CSG11109006-2013 计量自动化终端外形结构规范》、《Q/CSG11109002-2013 负荷管理终端技术规范》，电能表数据处理上传功能，用户侧电压合格率采集功能，三相电压合格率统计功能等|
|多表合一简介|I 型转换器|北京中宸研发生产的 I 型转换器是一种多仪表数据采集设备，与下行端通过 RS485 协议接口和 Mbus 协议接口连接并进行数据采集，每个 Mbus 接口支持连接 100 块仪表；上行端配合北京中宸的双通道等|
|厂站智能电能量采集终端（壁挂式）|无|厂站智能电能量采集终端（壁挂式）遵循国家标准研发生产，充分考虑国家电力行业的实际运行环境，采用高端工业级 32 位处理器和嵌入式 LINUX 操作系统平台，是一款具有先进通信技术和等|
|厂站智能电能量采集终端（机架式）|无|厂站智能电能量采集终端（机架式）采用先进工业电子技术和嵌入式软件技术，应用软、硬件分布式系统设计，各功能模块可独立数据采集、主站通信、数据存储等全部业务，集成 Ethe 等|
|HPLC II 型采集器 双模 II 型采集器|无|双模 II 型采集器支持电力线载波信道和微功率无线信道，拥有最高可用性的 32 位超低功耗 ARMCortex 内核，通过 485 芯片与电表进行通信，并且可通过电力线载波信道、微功率无线信道或红外接等|
