产品网址：https://www.trixontech.com/product-certificate
产品结构：root->产品证书-四川泰瑞创通讯技术股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|100G QSFP28|QSFP28 LR4 10km|QSFP28 LR4 Single Receiver、QSFP28 LR4 Double Receiver、QSFP28 SR4、QSFP28 ER4 Lite、QSFP28 CWDM4、QSFP28 PSM4|
|100G CFP|CFP2 LR4|CFP2-LR4 Receiver、CFP2-ER4、CFP4 LR4、CFP4 LR4 Receiver|
|40G QSFP+|40G QSFP+ LR4|40G QSFP+ SR4、40G QSFP+ PSM4、40G QSFP+ ER4|
|25G SFP28|25G SFP28 300m|25G SFP28 LR、25G SFP28 SR、25G SFP28 CWDM、25G SFP28 DWDM、25G SFP28 BIDI LR|
|10G|10G SFP+ 20km|10G SFP+ BIDI、TSPMD12-O mux、10G SFP+ DWDM、10G XFP SR/LR/ER/ZR、10G XFP BIDI、10G XFP CWDM、10G XFP DWDM|
|1.25G|1.25G BIDI 40km|1.25G BIDI SC、1.25G BIDI LC、10/100/1000BASE-T Copper SFP|
|PON|EPON OLT PX20+++、GPON OLT C+++、XGPON OLT SFP+、GPON OLT CLASS A-/B+/C+/C++/C+++、XGPON Combo OLT PON C+、XGSPON Combo OLT PON C+|
|AOC|100G AOC、100G DAC|无|
|Mux/ demux|无|无|
