产品网址：http://video-sy.com/?show-81-1.html
产品结构：当前位置：首页->产品中心->手术示教系统->手术示教终端->4K

|产品名称|产品型号|功能描述|
|--|--|--|
|手术示教终端|SY-8100V|4K 手术示教终端，手术示教直播录播，手术转播。强大双 4K 极致超清画面，丰富的视音频接口，无线互联，便于手术室和示教室快速部署和使用。具有极致超高清体验、无线接入、多视、三线合一、操作简洁、超强网络适应性、安全保密等特性。|

型号,SY-8100V,SY-8100V.1
协议和标准,多媒体框架协议,ITU-T H.323、IETF SIP V2
协议和标准,视频编解码协议,ITU-T H.265、H.264、H.264 HP、H.264 SVC
协议和标准,音频编解码协议,AAC-LC、G.722.1、G.722.1C、G.711a/u、G.722、Opus、AAC-LD
协议和标准,双流协议,ITU-T H.239、BFCP
协议和标准,网络传输协议,IPv6/IPv4、TCP/IP、RTP、RTCP、HTTP/HTTPS、TELNET、SSH、DNS、DHCP
协议和标准,其他协议和标准,H.225、H.235、H.245、H.281、FECC、RFC2833、DTMF、SRTP、SNTP、TLS
视频特性,主流图像分辨,4K、1080P、SXGA、720P、XGA、SVGA、VGA、4CIF、CIF
视频特性,主流帧率,1  5 fps、20 fps、25 fps、30 fps、50 fps、60 fps
视频特性,演示分辨率,4K、1080P、SXGA、720P、XGA、SVGA、VGA、4CIF、CIF
视频特性,演示帧率,15 fps、20 fps、25 fps、30 fps、50 fps、60 fps
视频特性,其他图像特性,支持PIP、POP等显示模式，图像效果增强、图像前后处理
音频特性,4A处理,AEC（自动回声抵消）、AGC（自动增益）、ANS（自动噪声抑制）、自动啸叫抑制(AFC）
音频特性,其他音频特性,支持唇音同步，本地扩音
稳定安全性,带宽,64Kbps～8Mbps
稳定安全性,网络适应能力,V-Link超强纠错抗丢包，视频40%抗丢包，音频70%抗丢包
稳定安全性,安全特性,H.235信令和媒体流加密、AES加密、TLS 和 SRTP 会议接入密码、会议控制密码、管理员密码 SSH/HTTPS、支持双流加密
接口,音频输入接口,XLR、RCA、3.5mm、MICARRAY阵列MIC接口HDMI、 HDBaseT
接口,音频输出接口,RCA、3.5mm、HDMI、DVI
接口,视频输入接口,HDMI、SDI、HDBaseT、DVI-I（DVI/HDMI/VGA/ YCbCr）
接口,视频输出接口,HDMI（HDMI/DVI）
接口,串口,VISCA，2×RS232/RS485
接口,网络接口,IP：10/100/1000Base-T、2×RJ45;
接口,网络接口,无线：Wi-Fi 2.4G/5G、蓝牙4.2
接口,USB口,2xUSB2.0，2xUSB3.0
接口,麦克风级联,6xAM50
业务特性,终端会议控制、主叫呼集,终端会议控制、主叫呼集
业务特性,多视：双视、三视,多视：双视、三视
业务特性,Wi-Fi无线接入,Wi-Fi无线接入
业务特性,HDMI关机环回,HDMI关机环回
业务特性,WEB图像监控,WEB图像监控
业务特性,有线PM50触摸屏控制（选配）,有线PM50触摸屏控制（选配）
业务特性,有线AM50麦克风接入（选配）,有线AM50麦克风接入（选配）
业务特性,支持十路CP50连接，同时四路无线数据共享（选配）,支持十路CP50连接，同时四路无线数据共享（选配）
业务特性,横幅、字幕,横幅、字幕
业务特性,支持第三方集成开发API接口,支持第三方集成开发API接口
业务特性,维护功能,WEB安全管理：内置Web服务器、图形化的维护诊断
业务特性,维护功能,命令行：支持Telnet/SSH
业务特性,维护功能,支持终端前面板显示终端ip及号码
业务特性,维护功能,支持终端自动休眠、唤醒机制（遥控器唤醒、WEB唤醒）
业务特性,维护功能,事件日志记录、查询显示和导出
业务特性,维护功能,支持IP网络诊断、音视频诊断、出厂设置恢复
尺寸,438mm*295.9mm*45mm（不带脚垫和接口）,438mm*295.9mm*45mm（不带脚垫和接口）
供电参数,交流电压,100～240V 50/60HZ
供电参数,功率,≤150W
运行环境,工作温度：,0℃~45℃
运行环境,相对湿度,5 %～ 90% （非冷凝）
运行环境,海拔,≤海拔5000米
