产品网址：https://www.geochipinc.com/product/42
产品结构：首页->产品中心->射频收发芯片->Sub6G

|产品名称|产品型号|功能描述|
|--|--|--|
|射频收发芯片|Sub 6G|1. 超低功耗、超宽频、超高带宽，30MHz-6.0 GHz 超宽带工作频率，涵盖大部分通信频段，支持通道带宽范围为 12 kHz 至 100 MHz。<br>2. 高集成度，集成低噪声系数和高线性度的 RX 接收通道，集成高线性度、宽频、高效率的 TX 发射通道，集成 12bit ADC/DAC，集成接收发射通道 VCO 和环路滤波器，集成宽频，低相位噪声 PLL 及小数 N 分频频率综合器。<br>3. 可重构，可配置，搭载可重构、高动态范围 ADC，可切换至所需制式及对应功耗，TDD 和 FDD 可配，双通道 RX：6 路差分或 12 路单端输入可配，多器件同步可配，CMOS/LVDS 数字接口可配。<br>4. 高性能 超低功耗，极佳的 TX 矢量幅度误差：TX EVM <-40dB，TX 功率监控器：动态范围>40dB，精度 1dB，出色的 RX 灵敏度：噪声系数低至 3dB，超低功耗：<600mW (1T1R FDD)。<br>应用领域：无线基站、高性能无线图传、专用通讯设备|

Part Number,Freq min  (Hz),Freq max  (Hz),Tx Channels,Rx Channels,TX EVM（dB）,OB channels,IF/Channel  BW (min) Hz,IF/Channel  BW (max)Hz,Interface Protocol,Package,Compatible with
GC0801,30M,6G,2,2,-40,NO,12K,60M,LVDS/CMOS,144-Ball CSPBGA  10 x 10 x 1.7mm,AD9361
GC0802,200M,5G,2,2,-40,NO,12K,100M,LVDS/CMOS,144-Ball CSPBGA  10 x 10 x 1.7mm,-
GC0802H,30M,6.125G,2,2,-40,NO,12K,100M,LVDS/CMOS,144-Ball CSPBGA  10 x 10 x 1.7mm,-
GC0802L,30M,6G,1,1,-40,NO,12K,100M,LVDS/CMOS,144-Ball CSPBGA  10 x 10 x 1.7mm,-
GC0803,200M,3.8G,2,2,-35,NO,12K,60M,LVDS/CMOS,144-Ball CSPBGA  10 x 10 x 1.7mm,AD9363
GC0804,30M,6G,1,1,-40,NO,12K,60M,LVDS/CMOS,144-Ball CSPBGA  10 x 10 x 1.7mm,AD9364
GC0805,200M,3.8G,1,1,-35,NO,12K,60M,LVDS/CMOS,144-Ball CSPBGA  10 x 10 x 1.7mm,AD9365


Part Number,Product Type,RF Frequency (MHz),Vcc Range  (V),Vbat Range  (V),Tx Psat @ Vcc Typ. (dBm),Tx Gain  (dB),Bypass IL  (dB),Rx Gain  (dB),Rx NF (dB),Package,Compatible with
GC1101,TRFEM,2400-2525,1.8-3.6,-,22.5@3.3V,25,-,15,2.9,QFN-16  3 x 3 x 0.75 mm,RFX2401C
GC1102,TRFEM,2400-2485,0.5-5.0,-,22.5@3.3V,22,1.5,12,2.5,LGA-22  3.5 x 3 x 1.0 mm,SKY66403
GC1103,TRFEM,2400-2525,1.8-3.6,-,22@3.3V,25,2,12,3,QFN-16  3 x 3 x 0.75 mm,RFX2401C
GC1105,TRFEM,2400-2485,0.5-5.0,1.8-3.6,30@3.3V,27,1.5,12,2.5,LGA-16  3 x 3 x 0.75 mm,RFX2401C
GC1106,RXFEM,2400-2525,1.8-3.6,-,-,-,2,12,3,QFN-16  3 x 3 x 0.75 mm,RFX2401C
GC1107,TXFEM,2400-2525,2-3.6,-,30@3.3V,25,2,-,-,QFN-16  3 x 3 x 0.75 mm,RFX2401C
GC1108,RXFEM,2400-2485,0.5-5.0,-,11@3.3V,11,1.5,-,-,LGA-20  3.3 x 3 x 0.8 mm,SKY66110
GC1109,TRFEM,800-960,0.5-5.0,1.8-3.6,31@4.0V,29,1,18,2,LGA-16  3 x 3 x 0.75 mm,SKY66423
GC1117,TXFEM,169-170,0.5-4.0,1.8-3.6,29.5@3.6V,40,0.4,-,-,LGA-16  4x 4 x 0.76 mm,SKY66121
GC1123,TXFEM,223-235,0.5-4.0,1.8-3.6,30@3.6V,38,0.4,-,-,LGA-16  4x 4 x 0.76 mm,SKY66121
GC1125,TRFEM,5150-5850,3-5.25,-,26@5V,29,9,11.6,3,QFN-16  2.5x2.5x0.65mm,SKY85717
GC1131,TRFEM,400-510,0.5-5.0,1.8-3.6,31@3.6V,30,1,15,2,LGA-16  3 x 3 x 0.75 mm,-
GC0672,TXFEM,2G Quad-Band,-,2.7-4.5,LB 34@3.8V  HB 31@3.8V,-,-,-,-,LGA-22  5.22 x 4.54 x 0.74 mm,HS8292
GC0609,PA,800-900,0.5-4.2,1.8-3.6,31.5@4V,29,-,-,-,LGA-10  2.5 x2.0 x 0.75 mm,-
GC0631,PA,400-510,0.5-5.0,1.8-3.6,31.5@3.6V,30,-,-,-,LGA-10  3.0 x3.0 x 0.75 mm,URPM6331
GC0643,MMMB-PA,B1/3/5/8/34  /39/40/41,0.5-4.6,1.8-4.6,31.5@3.4V,28,-,-,-,LGA-30  4.0 x4.0 x 0.82 mm,OC9743
GC0658,PA,824-915,0.5-4.2,1.8-3.6,27@2.4V,27,-,-,-,LGA-10  2.5 x2.0 x 0.75 mm,RF3515/8


Part Number,Product Type,Channel,Sample Rate  (sps),Resolution  (bit),Power (typ.) (mW),Vcc (V),Input Type,INL  (LSB),DNL  (LSB),SNR  (dB),SFDR  (dB),Data Output  Interface,Package,Compatible with
GAD2174,Pipeline ADC,4,105M,14,558.0,1.8,差分,±1,±0.6,73.4,88.0,LVDS,QFN52,LTC2174
GAD2175,Pipeline ADC,4,125M,14,636.0,1.8,差分,±1,±0.6,75.4,91.0,LVDS,QFN52,LTC2175
GAD2228,Pipeline ADC,1,65M,12,243.0,3.0,差分,±0.3,±0.15,71.3,90.0,CMOS,QFN32,LTC2228
GAD2245,Pipeline ADC,1,10M,14,58.0,3.0,差分,±1,±0.5,74.0,90.0,CMOS,QFN32,LTC2245
GAD2246,Pipeline ADC,1,25M,14,217.0,3.0,差分,±2,±0.5,74.0,95.0,CMOS,QFN32,LTC2246
GAD2247,Pipeline ADC,1,40M,14,227.0,3.0,差分,±2,±0.5,74.0,93.0,CMOS,QFN32,LTC2247
GAD2248,Pipeline ADC,1,65M,14,243.5,3.0,差分,±2,±0.5,74.0,88.5,CMOS,QFN32,LTC2248
GAD2249,Pipeline ADC,1,80M,14,254.0,3.0,差分,±2,±0.5,74.0,89.0,CMOS,QFN32,LTC2249
GAD2254,Pipeline ADC,1,105M,14,269.0,3.0,差分,±2,±0.5,73.5,80.5,CMOS,QFN32,LTC2254
GAD2255,Pipeline ADC,1,125M,14,283.0,3.0,差分,±2,±0.5,73.0,83.5,CMOS,QFN32,LTC2255
GAD2263,Pipeline ADC,2,25M,14,110.0,1.8,差分,±1,±0.6,74.2,90.0,LVDS,QFN40,LTC2263
GAD2264,Pipeline ADC,2,40M,14,146.0,1.8,差分,±1,±0.3,73.5,90.0,LVDS,QFN40,LTC2264
GAD2267,Pipeline ADC,2,105M,14,299.0,1.8,差分,±1,±0.3,73.1,88.0,LVDS,QFN40,LTC2267
GAD2268,Pipeline ADC,2,125M,14,420.0,1.8,差分,±1,±0.3,74.0,83.0,LVDS,QFN40,LTC2268


Part Number,Product Type,Channel,Sample Rate  (sps),Resolution  (bit),Power (typ.) (mW),Vcc (V),Input Type,INL  (LSB),DNL  (LSB),SNR  (dB),SFDR  (dB),Data Output  Interface,Package,Compatible with
GAD7283,SAR ADC,1,100K,12,6.0,5,单端,±0.3,±0.2,72.5,91,SPI/SSI,SOP-8,-
GAD7483,SAR ADC,1,100K,14,6.0,5,单端,±1.5,±1.3,81.0,92,SPI/SSI,SOP-8,-
GAD7683,SAR ADC,1,100K,16,6.0,5,单端,±6,±4,82.5,86,SPI/SSI,SOP-8,AD7683
GAD7689,SAR ADC,8,250K,16,13.0,3.3-5,单端/差分,±0.8,±0.7,87.0,105,SPI,QFN20,AD7689
GAD7699,SAR ADC,8,500K,16,16.0,5,单端/差分,±0.8,±0.7,87.0,105,SPI,QFN20,AD7699
GAD7980,SAR ADC,1,1M,16,7.7,2.5,单端/差分,±2,±0.8,86.0,100,SPI,DFN10,AD7980
GAD8223,SAR ADC,1,500K,12,85.0,5,单端/差分,±0.3,±0.2,72.5,91,CMOS,QFN32,-
GAD8323,SAR ADC,1,500K,16,85.0,5,单端/差分,±6,±4,84.0,91,CMOS,QFN32,ADS8323
GAD8423,SAR ADC,1,500K,14,85.0,5,单端/差分,±1.5,±1.3,81.0,91,CMOS,QFN32,-


Part Number,Vout  (V),Initial accuracy  (Max) (%),Temp coeff (Max)  (ppm/℃),Operating temp  range (℃),Package,Vin (Min)  (V),Vin (Max)  (V),Compatible with
GREF0512,1.2,0.1,5,-40~125,SOIC-8,2.7,5.5,REF5010
GREF0518,1.8,0.1,5,-40~125,SOIC-8,2.7,5.5,-
GREF0520,2.048,0.1,5,-40~125,SOIC-8,2.7,5.5,REF5020  ADR420  ADR440
GREF0525,2.5,0.1,5,-40~125,SOIC-8,2.7,5.5,REF5025  ADR421  ADR441
GREF0530,3.0,0.1,5,-40~125,SOIC-8,2.7,5.5,REF5030  ADR423  ADR443
GREF0533,3.3,0.1,5,-40~125,SOIC-8,2.7,5.5,-
GREF0540,4.096,0.1,5,-40~125,SOIC-8,2.7,5.5,REF5040  ADR444
GREF0550,5.0,0.1,5,-40~125,SOIC-8,2.7,5.5,REF5050  ADR425  ADR445
GREF0612,1.2,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3412
GREF0618,1.8,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3418
GREF0620,2.048,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3420
GREF0625,2.5,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3425
GREF0630,3.0,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3430
GREF0633,3.3,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3433
GREF0640,4.096,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3440
GREF0650,5.0,0.1,6,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071  REF3450
GREF1012,1.2,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF1018,1.8,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF1020,2.048,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF1025,2.5,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF1030,3.0,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF1033,3.3,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF1040,4.096,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF1050,5.0,0.1,10,-40~125,SOT23-6,2.7,5.5,MAX6070  MAX6071
GREF2012,1.2,0.1,20,-40~125,SOT23-3,2.7,5.5,REF3012  REF3112  REF3312
GREF2018,1.8,0.1,20,-40~125,SOT23-3,2.7,5.5,-
GREF2020,2.048,0.1,20,-40~125,SOT23-3,2.7,5.5,REF3020  REF3120  REF3320
GREF2025,2.5,0.1,20,-40~125,SOT23-3,2.7,5.5,REF3025  REF3125  REF3325
GREF2030,3.0,0.1,20,-40~125,SOT23-3,2.7,5.5,REF3030  REF3130  REF3330
GREF2033,3.3,0.1,20,-40~125,SOT23-3,2.7,5.5,REF3033  REF3133  REF3333
GREF2040,4.096,0.1,20,-40~125,SOT23-3,2.7,5.5,REF3040  REF3140  REF3340
GREF2050,5.0,0.1,20,-40~125,SOT23-3,2.7,5.5,-
