产品网址：http://www.sczxrd.cn/product/23.html
产品结构：root->磷酸二氢钾_无机磷酸盐-农化水溶肥-磷矿资源深加工-四川中鑫锐达化工有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|磷酸二氢钾|无|主要用于医药、食品工业及制造偏磷酸盐；在农业上用作高效复合肥，总养分（K2O+P2O5）为 86%，是配制 N、P、K 三元复混肥的优质基础原料|

序号,指标名称,Unnamed: 2,工业级,食品级
1,主含量  (KH2PO4  计  ),%  ≥,99.0,99.0
2,氧化钾  (K2O),%  ≥,34.0,34.0
3,五氧化二磷（  P2O5  ）,%  ≥,52.0,52.0
4,1%  水溶液  PH  值,,4.3-4.7,4.2-4.7
5,水份  (H2O),%  ≤,0.2,0.2
6,水不溶物,%  ≤,0.1,0.1
7,氯化物  (  以  CI  计  ),%  ≤,0.05,0.005
8,砷  (  以  As  计  ),%  ≤,0.005,0.0003
9,重金属  (  以  Pb  计  ),%  ≤,0.005,0.001
10,铁  (  以  Fe  计  ),%  ≤,0.003,0.003
11,氟化物（以  F  计）,%  ≤,---,0.001
12,铅（以  Pb),%  ≤,----,0.0002
