产品网址：http://www.sczxrd.cn/product/22.html
产品结构：root->磷酸二氢铵_无机磷酸盐-农化水溶肥-磷矿资源深加工-四川中鑫锐达化工有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|磷酸二氢铵|无|是高效氮磷复合肥料，可作为叶面施肥、冲施肥、滴灌和喷灌施肥，也用于配制 N,P,K 复混肥。主要用于木材、纸张、织物作防火剂，纤维加工和染料工业的分散剂，搪瓷用釉药，也用作防火涂料添加剂、干粉灭火剂、印刷制版等。在食品工业中用作发酵剂、调节剂、缓冲剂等。也用作动物饲料添加剂。还用于医药制造。|

序号,指标名称,Unnamed: 2,工业级,工业级.1,食品级
序号,指标名称,,Wet,Hot,食品级
1,主含量  (NH4H2PO4  计  ),%  ≥,98.0,99.0,99.0
2,P2O5,%  ≥,60.5,61.0,61.0
3,氮,%  ≥,11.5,12.0,12.0
4,1%  水溶液  PH  值,,4.0-5.0,4.2-4.8,4.2-4.8
5,水不溶物,%  ≤,0.3,0.1,0.1
6,水份  (H2O),%  ≤,0.5,0.2,0.2
7,砷  (  以  As  计  ),%  ≤,--,0.005,0.0003
8,重金属  (  以  Pb  计  ),%  ≤,--,0.005,0.001
9,氟化物（以  F  计）,%  ≤,--,0.02,0.001
10,硫酸盐以  SO4  计,%  ≤,1.2,0.9,--
