产品网址：http://www.sczxrd.cn/product/21.html
产品结构：root->焦磷酸钾_无机磷酸盐-农化水溶肥-磷矿资源深加工-四川中鑫锐达化工有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|焦磷酸钾|无|主要用于无氰电镀、衣料用洗涤剂组分、金属和瓶子洗涤剂组分，各种清洁剂、添加剂和陶瓷工业的粘土分散剂，也可用作电镀的前处理剂和焦磷酸电镀液。|

序号,指标名称,Unnamed: 2,工业级,食品级,电镀级
1,主含量,%  ≥,98.0,98.0,98.0
2,五氧化二磷（  P2O5  ）,%  ≥,42.0,42.0,42.0
3,氧化钾  (K2O),%  ≥,56.0,56.0,56.0
4,氯化物  (  以  CI  计  ),%  ≤,0.005,0.001,0.001
5,铁  (  以  Fe  计  ),%  ≤,0.008,0.003,0.003
6,水不溶物,%  ≤,0.1,0.1,0.1
7,1%  水溶液  PH  值,,10.0-11.0,10.0-11.0,10.0-11.0
8,重金属  (  以  Pb  计  ),%  ≤,0.003,0.001,--
9,氟化物（以  F  计）,%  ≤,--,0.001,--
10,砷  (  以  As  计  ),%  ≤,0.005,0.0003,0.0003
11,正磷酸盐,,合格  Qualified,合格  Qualified,合格  Qualified
12,灼烧减量,%  ≤,1.0,0.5,1.0
13,铅,%  ≤,0.0002,0.0002,0.0002
14,赫尔槽试验（  Dk  ≥  10A/dm2  下电镀））,,--,--,合格
