产品网址：http://en.sczxrd.cn/product/7
产品结构：root->AgrochemicalType_Products_ZhongXinRuiDaChemical-Inorganicphosphate-Fertilizer

|产品名称|产品型号|功能描述|
|--|--|--|
|Monopotassium Phosphate|无|Chemical formula: KH2PO4|
|Dipotassium hydrogen phosphate|无|Chemical formula: K2HPO4, K2HPO4.3H2O|
|Tripotassium Phosphate Anhydrous|无|Molecular formula: K3PO4|
|Tetra Potassium Pyrophosphate|无|Chemical formula: K4P2O7|
|Potassium tripolyphosphate|无|Molecular Formula: K5P3O10|
|Acidic Potassium Phosphate|无|Chemical formula: KH5(PO4)2|
|potassium nitrate|无|Molecular formula: KNO3|
|Monoammonium Phosphate|无|Chemical formula: NH4H2PO4|
|Diammonium hydrogen phosphate|无|Chemical formula: (NH4)2HPO4|
|Urea phosphate|无|Chemical formula: H3P04·CO(NH2)2|
|A large number of elemental water-soluble fertilizer formula fertilizer|NPK 18-18-18、NPK 19-19-19、NPK 20-20-20、NPK 30-10-10、NPK 12-6-40、NPK15-5-30、NPK10-30-20、NPK10-30-10|无|
