产品网址：http://www.sczxrd.cn/product/9.html
产品结构：root->磷酸二氢钠_无机磷酸盐-农化水溶肥-磷矿资源深加工-四川中鑫锐达化工有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|磷酸二氢钠|无|生物保鲜、电镀磷化，在食品和饲料工业中作缓冲剂、乳化剂、营养剂等|

序号,指标名称,Unnamed: 2,二水工业级,二水工业级.1,无水  物  anhydride,无水  物  anhydride.1
序号,指标名称,,工业级,食品级,工业级,食品级
1,主含量,%  ≥,98.0,98.0,98.0,98.0
2,硫酸盐,%  ≤,0.5,--,0.5,--
3,1%  水溶液  PH  值,,4.2-4.6,4.1-4.7,4.2-4.6,4.1-4.7
4,水不溶物,%  ≤,0.1,0.2,0.2,0.2
5,重金属  (  以  Pb  计  ),%  ≤,0.05,0.001,0.05,0.001
6,砷  (  以  As  计  ),%  ≤,0.01,0.0003,0.01,0.0003
7,氟化物（以  F  计）,%  ≤,0.05,0.005,0.05,0.005
8,氯化物  (  以  CI  计  ),%  ≤,0.4,--,0.4,--
9,干燥减量,%  ≤,--,--,2.0,2.0
