company_name,title,product_url,Product Model,base_info,root_category_name,root_category_id,category_name,category_id,sub_category_name,sub_category_id,detail_category_name,detail_category_id
广州鸿博微电子技术有限公司,主流型微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBM32G003 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,主流型微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBM32G030 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,主流型微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBM32G005 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,精简型微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBM32F002 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,精简型微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBM32F003 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,高性能微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBM32G103 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,显示驱动型微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBM32D003 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,显示驱动型微控制器,http://www.honormicro.com/chanpin/show.php?id=43,HBS26/HBS36 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,无线 MCU 产品,http://www.honormicro.com/chanpin/show.php?id=43,HBS24/HBS35 系列,无,root,1906551877,无,0,无,0,无,0
广州鸿博微电子技术有限公司,高精度 ADC 产品,http://www.honormicro.com/chanpin/show.php?id=43,HBS10A001 系列,无,root,1906551877,无,0,无,0,无,0
