产品网址：https://www.smartx.com/blog/category/products-in-depth
产品结构：root->产品解析–SmartX

|产品名称|产品型号|功能描述|
|--|--|--|
|SmartX 超融合|无|性能翻倍，运行更稳定|
|SmartX 虚拟化内容合集|无|近 600 家行业用户在生产环境验证 ELF 虚拟化能力|
|SmartX 超融合虚拟机高可用构建思路|无|不仅有效，更加细致|
|SmartX 硬件兼容性查询工具、文档中心和 API 文档|无|好的产品文档，可胜过千军万马|
|SmartX 超融合|无|数据库场景下，基于单卷部署的性能优于 Nutanix 超融合基于多卷部署+最佳配置的性能|
|SmartX 超融合虚拟化与虚拟机管理关键技术与特性|无|满足多种计算场景，提升运维管理效率|
|SKS 1.2|无|持续推动容器化应用、AI 以及信创技术栈的深度融合|
|SMTX 备份与容灾|无|包含备份与恢复、复制与恢复两个功能模块|
|ZBS 的 RoCE 技术|无|相比生产环境物理机，缩短大数据应用用时约 70%|
|分布式存储|无|支持 Oracle 性能与稳定性更佳|
|SKS|无|运行容器化应用可达到裸金属 Kubernetes 性能 82%-96%|
|超融合系统疑难故障定位与解决实践|无|自研核心技术助力全栈故障根因|
|SMTX Kubernetes 服务|无|可一站式构建生产级 Kubernetes 集群|
|分布式块存储 ZBS|无|深度解读 ZBS 技术设计与实现|
|SmartX 超融合 5.1|无|为虚拟化与容器提供生产级统一架构|
|网络交换机|无|整理了超融合架构下用户关于网络交换机的常见提问，并邀请 SmartX 技术专家进行了详细解答|
|SmartX 超融合|无|利用临时副本优化多副本机制，保证副本数据恢复期间“副本不降级、数据不丢失”|
|K8s 持久化存储|无|干货内容，一键获取|
|IOMesh Pod HA|无|优化 Kubernetes 机制，提供高级别高可用持久化存储|
|SmartX Kubernetes 基础设施解决方案|无|满足多种部署环境和应用场景需求|
|Everoute LB|无|为虚拟化和云环境提供敏捷支持|
|SmartX 超融合虚拟化下的网络 I/O 虚拟化技术|无|优化网络性能和隔离性|
|动态资源平衡|无|资源的动态调度是虚拟化软件（或超融合软件）中的一项重要功能|
|GPU 直通 & vGPU|无|为 GPU 应用场景提供高性能支持|
|志凌海纳 SmartX 边缘计算解决方案|无|充分满足边缘站点 IT 基础架构需求|
|IOMesh|无|为 K8s 上的虚拟机提供高性能高可用支持|
|新建集群 VS 滚动升级|无|结合集群环境与企业需求，选择合适的方案|
|SmartX 存储性能测试工具 OWL|无|预先了解集群 I/O 基线与业务 I/O 需求，避免性能瓶颈|
|主流 K8s 持久化存储方案|无|选择兼具高性能与稳定性的方案|
|SMTX CloudMove|无|支持三大迁移场景，自动迁移不停机|
|IOMesh 1.0|无|可将 IOMesh 应用于多种场景中，同时提供免费的社区版供体验全量功能|
|国内首款 K8s 原生的企业级分布式存储 IOMesh 企业版|无|为运行在 Kubernetes 集群上的各类有状态应用提供稳定、高性能的持久化存储资源|
|SmartX 超融合操作系统|无|成功将超融合软件操作系统由 CentOS 7 “原地”转换为 openEuler|
|SKS 1.0|无|简单易用、生产级可用、灵活开放|
|SmartX 超融合硬盘健康检测机制|无|磁盘故障是存储系统内最常见的问题之一，需要在存储系统设计和日常运维管理中重点关注|
|分布式存储可靠性|无|分布式架构的可靠性和容错能力，以及各…|
|VMware、Nutanix、SmartX 超融合技术与性能对比|无|无|
|超融合利旧用户实践|无|揭秘如何以更低成本实现架构转型|
|SMTX 迁移工具|无|操作简单，迁移高效|
|分布式存储 ZBS|无|深度解读 ZBS 数据路径原理|
|分布式存储 ZBS|无|解读 ZBS 如何通过 RDMA 提高存储性能|
|knest|无|一键式创建和运维 Kubernetes 集群|
|SmartX 超融合替代可行性与迁移方案|无|市场、产品、技术与性能对比|
|微分段与备份产品|无|数据备份与网络隔离并重|
|VMware 与 SmartX 超融合 I/O 路径差异及其影响|无|正常和数据恢复状态下，ZBS 本地 I/O 访问概率更高|
|微分段的三种实现方案|无|企业应采用一种或多种微分段方案（基于代理、网络或 hypervisor）|
|零信任|无|聚焦 ZTNA 和基于身份的分段等关键技术项目|
|K8s 多租户现有实现机制分析与优化|无|多集群方案搭配轻量、高效、安全的 Virtink 虚拟化引擎|
|基于微分段的东西向安全防护|无|提升数据中心运维效率|
|超融合不再需要缓存盘？vSAN 8 ESA 消除磁盘组|无|成本焦虑依旧存在|
|VMware 超融合国产替代之性能对比篇|无|着重围绕性能展开讨论，并对比 VMware 和 SmartX 超融合的实测性能表现|
|VMware 与 SmartX 分布式存储缓存机制浅析与性能对比|无|统一缓存空间避免缓存击穿，保障业务性能|
|数据保护产品 SMTX 备份与恢复|无|为数据中心的工作负载提供数据备份和数据恢复解决方案以及企业级的数据保护|
|SmartX Everoute 如何通过微分段技术实现 “零信任”|无|SmartX 社区成长营第二期分享回顾|
|分布式块存储 ZBS|无|ZBS 的前世今生|
|VMware 与 SmartX 快照原理浅析与 I/O 性能对比|无|SmartX 超融合支持更方便的快照管理、更快的性能恢复|
|虚拟化数据中心的东西向访问控制|无|SmartX 社区成长营第一期分享回顾|
|Virtink|无|用更安全轻量的方式支撑虚拟化负载|
|SMTX 迁移工具|无|钟老师在线教学和答疑第二期|
|微分段应用场景与实现机制|无|轻松排除虚拟化环境安全隐患|
|SmartX 超融合基础设施关键能力|无|“4 大关键能力”全面解读|
|SmartX 超融合基础设施|无|360 秒了解 SmartX 超融合基础设施与 4 大关键能力|
|SmartX 超融合|无|灵活选择扩硬盘、扩节点、扩集群，还可支持硬件异构整合|
|管理平台 CloudTower 2.0 版本|无|详解 CloudTower 2.0 版本新增功能|
|SmartX 超融合套件社区版|无|体验大型金融机构同款超融合|
|弹性副本恢复策略|无|在确保业务正常使用的同时保证数据安全|
|SmartX 超融合|无|实现软件一键升级、硬件平滑升级|
|SMTX ZBS|无|更好地帮助客户减少在 vSphere 虚拟化层面的存储操作开销|
|SmartX 超融合社区版|无|利用 OVF 镜像，在 VMware ESXi 虚拟机上部署社区版|
|超融合的权威定义|无|来自 Gartner 的权威定义解读|
|零信任安全|无|安全管理员的睡眠，由微分段守护|
|SPDK Vhost-user|无|帮助超融合架构实现 I/O 存储性能提升|
|超融合产品网络与安全组件|无|帮助客户在虚拟化场景下对东西向流量进行保护，加固数据中心内部网络安全，构建零信任安全的企业云基础设施|
|SMTX ZBS 5.0|无|基于稳定的存储核心，结合先进的硬件技术与全栈优化的软件，提供业界领先的高性能与低时延|
|基于 VMware vSphere 的超融合平台|无|针对两种方案进行多方位的对比|
|K8s 云原生存储 IOMesh|无|加速有状态应用的容器化进程|
|傲腾持久内存存储加速精选解决方案|无|帮助用户加速部署现代化数据中心|
|SmartX 分布式块存储与商用 Ceph 存储产品|无|用户在进行方案选型时，了解两种产品的特性差异，尤其在特定场景的性能差异|
|超低延迟超融合解决方案|无|正式发布基于核心软件 SMTX OS 与英特尔® 傲腾™ 持久内存的高性能、低延迟超融合解决方案与 SMTX Halo P 系列一体机|
|分布式块存储解决方案|无|双方共同发布了分布式块存储解决方案|
|超融合一体机|无|正式推出基于英特尔®傲腾™ 数据中心级持久内存的超融合一体机|
|vSAN 与 SmartX ZBS|无|针对两种方案进行多方位的对比|
|资源用量预测功能|无|让管理 IT 基础设施变得更简单|
|SMTX 虚拟机迁移工具|无|帮助企业轻松将虚拟机迁移至运行 SMTX 虚拟机服务的集群|
|SMTX OS 4.0 与 分布式块存储产品 SMTX ZBS|无|升级“生产就绪”的新一代 IT 基础架构|
|超融合产品选型 POC 要点之 – 可靠性篇|无|无|
|SMTX OS 网络规划最佳实践 – Elf 平台|无|无|
|SMTX OS 4.0 一键升级功能|无|减少了维护人员的手动操作，提升了使用体验|
|SMTX OS 4.0 数据智能再平衡策略|无|主要聊一聊 SMTX OS 4.0 数据副本管理相关的数据再平衡策略|
|SMTX OS 超融合硬件选配推荐指南|无|从单机硬件配置、硬件资源预留方案到扩容选择全流程提供完备参考，让超融合硬件配置更轻松|
|SMTX ZBS 分布式块存储 Kubernetes CSI 实现|无|介绍了其具体实现|
|Intel Optane SSD 与 SmartX 超融合|无|在数据库场景有非常好的性能表现|
|SMTX OS 超融合硬件选配推荐指南|无|从单机硬件配置、硬件资源预留方案到扩容选择全流程提供完备参考，让超融合硬件配置更轻松|
|CTO 深度解读 SMTX OS 3.5 产品特性|无|简单介绍了大家比较关注的超融合外部市场的情况，并详细介绍了 SmartX 最新发布的 SMTX OS 3.5 产品细节|
