产品网址：http://www.china-cpu.com/news_detail-87-88-48.html
产品结构：root->GSC3280开发板-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|GSC3280 开发板|无|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,
基于  GSC3280  ，采用核心板+底板架构，全套开发板系统包括：,基于  GSC3280  ，采用核心板+底板架构，全套开发板系统包括：,基于  GSC3280  ，采用核心板+底板架构，全套开发板系统包括：,基于  GSC3280  ，采用核心板+底板架构，全套开发板系统包括：
Ø 核心板,Ø 核心板,Ø 核心板,Ø 核心板
Ø 底板,Ø 底板,Ø 底板,Ø 底板
Ø 7吋TFT LCD屏（带4线电阻触摸屏）,Ø 7吋TFT LCD屏（带4线电阻触摸屏）,Ø 7吋TFT LCD屏（带4线电阻触摸屏）,Ø 7吋TFT LCD屏（带4线电阻触摸屏）
Ø 电源,Ø 电源,Ø 电源,Ø 电源
Ø 配件：串口线，网线等,Ø 配件：串口线，网线等,Ø 配件：串口线，网线等,Ø 配件：串口线，网线等
,,,
产品简介,产品简介,产品简介,产品简介
GSC3280  开发板是一款以  GSC3280  处理器为核心的高性价比开发板，采用“核心板+底板”双层架构，核心板采用6层PCB板，接口底板采用2层PCB，抗干扰性强，硬件接口资源丰富，本款开发板还标配7寸TFT液晶屏（含四线电阻式触摸屏），特别适用于工业控制、HMI人机界面、嵌入式SCADA、智能家居等电子产品的开发而设计。,GSC3280  开发板是一款以  GSC3280  处理器为核心的高性价比开发板，采用“核心板+底板”双层架构，核心板采用6层PCB板，接口底板采用2层PCB，抗干扰性强，硬件接口资源丰富，本款开发板还标配7寸TFT液晶屏（含四线电阻式触摸屏），特别适用于工业控制、HMI人机界面、嵌入式SCADA、智能家居等电子产品的开发而设计。,GSC3280  开发板是一款以  GSC3280  处理器为核心的高性价比开发板，采用“核心板+底板”双层架构，核心板采用6层PCB板，接口底板采用2层PCB，抗干扰性强，硬件接口资源丰富，本款开发板还标配7寸TFT液晶屏（含四线电阻式触摸屏），特别适用于工业控制、HMI人机界面、嵌入式SCADA、智能家居等电子产品的开发而设计。,GSC3280  开发板是一款以  GSC3280  处理器为核心的高性价比开发板，采用“核心板+底板”双层架构，核心板采用6层PCB板，接口底板采用2层PCB，抗干扰性强，硬件接口资源丰富，本款开发板还标配7寸TFT液晶屏（含四线电阻式触摸屏），特别适用于工业控制、HMI人机界面、嵌入式SCADA、智能家居等电子产品的开发而设计。
,,,
典型应用,典型应用,典型应用,典型应用
工业控制、HMI人机界面、嵌入式SCADA、智能家居、物联网网关等电子产品评估与开发,工业控制、HMI人机界面、嵌入式SCADA、智能家居、物联网网关等电子产品评估与开发,工业控制、HMI人机界面、嵌入式SCADA、智能家居、物联网网关等电子产品评估与开发,工业控制、HMI人机界面、嵌入式SCADA、智能家居、物联网网关等电子产品评估与开发
,,,
基本特性,基本特性,基本特性,基本特性
