产品网址：https://www.china-cpu.com/news_detail-87-88-139.html
产品结构：root->SZLX9020核心板-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|核心板|SZLX9020|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
产品简介  SZLX9020 核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其 硬件核心为工业级的 GSC3290 芯片，主频最高达 300MHz。板上集成了大量的 外设接口，包括 100M/1000M 以太网、USB2.0 OTG、CAN、SDIO、TFT LCD、 UART 等接口。可满足工业自动化控制领域、物联网领域以及各类数据采集处理 系统等领域的应用。  同时，SZLX9020 核心板采用嵌入式 Linux 实时多任务操作系统，并针对板载 的各个接口，提供了完整的接口底层驱动以及丰富的应用程序范例。用户可以在 此基础上，利用熟悉的各种软件工具，直接开发自己的应用程序，以方便、快速 的构成各种高性能工控产品。,产品简介  SZLX9020 核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其 硬件核心为工业级的 GSC3290 芯片，主频最高达 300MHz。板上集成了大量的 外设接口，包括 100M/1000M 以太网、USB2.0 OTG、CAN、SDIO、TFT LCD、 UART 等接口。可满足工业自动化控制领域、物联网领域以及各类数据采集处理 系统等领域的应用。  同时，SZLX9020 核心板采用嵌入式 Linux 实时多任务操作系统，并针对板载 的各个接口，提供了完整的接口底层驱动以及丰富的应用程序范例。用户可以在 此基础上，利用熟悉的各种软件工具，直接开发自己的应用程序，以方便、快速 的构成各种高性能工控产品。,产品简介  SZLX9020 核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其 硬件核心为工业级的 GSC3290 芯片，主频最高达 300MHz。板上集成了大量的 外设接口，包括 100M/1000M 以太网、USB2.0 OTG、CAN、SDIO、TFT LCD、 UART 等接口。可满足工业自动化控制领域、物联网领域以及各类数据采集处理 系统等领域的应用。  同时，SZLX9020 核心板采用嵌入式 Linux 实时多任务操作系统，并针对板载 的各个接口，提供了完整的接口底层驱动以及丰富的应用程序范例。用户可以在 此基础上，利用熟悉的各种软件工具，直接开发自己的应用程序，以方便、快速 的构成各种高性能工控产品。,产品简介  SZLX9020 核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其 硬件核心为工业级的 GSC3290 芯片，主频最高达 300MHz。板上集成了大量的 外设接口，包括 100M/1000M 以太网、USB2.0 OTG、CAN、SDIO、TFT LCD、 UART 等接口。可满足工业自动化控制领域、物联网领域以及各类数据采集处理 系统等领域的应用。  同时，SZLX9020 核心板采用嵌入式 Linux 实时多任务操作系统，并针对板载 的各个接口，提供了完整的接口底层驱动以及丰富的应用程序范例。用户可以在 此基础上，利用熟悉的各种软件工具，直接开发自己的应用程序，以方便、快速 的构成各种高性能工控产品。,产品简介  SZLX9020 核心板是一款面向工业自动化控制领域的高性价比嵌入式主板，其 硬件核心为工业级的 GSC3290 芯片，主频最高达 300MHz。板上集成了大量的 外设接口，包括 100M/1000M 以太网、USB2.0 OTG、CAN、SDIO、TFT LCD、 UART 等接口。可满足工业自动化控制领域、物联网领域以及各类数据采集处理 系统等领域的应用。  同时，SZLX9020 核心板采用嵌入式 Linux 实时多任务操作系统，并针对板载 的各个接口，提供了完整的接口底层驱动以及丰富的应用程序范例。用户可以在 此基础上，利用熟悉的各种软件工具，直接开发自己的应用程序，以方便、快速 的构成各种高性能工控产品。
主要特点  ◆ 丰富的板载资源  作为一款高性能的嵌入式工控主板，SZLX9020 核心板带有 CPU、DDR2、NAND、SPI FLASH 等核心器件以及多种标准接口，以满足各种 应用需求。  ◆  紧凑的外型尺寸  SZLX9020核心板的外型尺寸为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm） 对外连接，可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。  ◆  全国产化  SZLX9020 核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/ 电源 IC 等）均为国产芯片，且除 CPU 外均与国外器件 PIN TO PIN 兼容，以适 应不同的设计需求。  ◆  工业级  SZLX9020核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/电源 IC 等）均选用-40°C~85°C的工业级标准温域，以适应恶劣环境。  ◆  极高性价比  作为一款工业级品质的工控产品，SZLX9020 核心板采用 6 层沉 金板设计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏 感的各种应用领域，是一款具有极高性价比的工业产品。,主要特点  ◆ 丰富的板载资源  作为一款高性能的嵌入式工控主板，SZLX9020 核心板带有 CPU、DDR2、NAND、SPI FLASH 等核心器件以及多种标准接口，以满足各种 应用需求。  ◆  紧凑的外型尺寸  SZLX9020核心板的外型尺寸为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm） 对外连接，可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。  ◆  全国产化  SZLX9020 核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/ 电源 IC 等）均为国产芯片，且除 CPU 外均与国外器件 PIN TO PIN 兼容，以适 应不同的设计需求。  ◆  工业级  SZLX9020核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/电源 IC 等）均选用-40°C~85°C的工业级标准温域，以适应恶劣环境。  ◆  极高性价比  作为一款工业级品质的工控产品，SZLX9020 核心板采用 6 层沉 金板设计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏 感的各种应用领域，是一款具有极高性价比的工业产品。,主要特点  ◆ 丰富的板载资源  作为一款高性能的嵌入式工控主板，SZLX9020 核心板带有 CPU、DDR2、NAND、SPI FLASH 等核心器件以及多种标准接口，以满足各种 应用需求。  ◆  紧凑的外型尺寸  SZLX9020核心板的外型尺寸为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm） 对外连接，可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。  ◆  全国产化  SZLX9020 核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/ 电源 IC 等）均为国产芯片，且除 CPU 外均与国外器件 PIN TO PIN 兼容，以适 应不同的设计需求。  ◆  工业级  SZLX9020核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/电源 IC 等）均选用-40°C~85°C的工业级标准温域，以适应恶劣环境。  ◆  极高性价比  作为一款工业级品质的工控产品，SZLX9020 核心板采用 6 层沉 金板设计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏 感的各种应用领域，是一款具有极高性价比的工业产品。,主要特点  ◆ 丰富的板载资源  作为一款高性能的嵌入式工控主板，SZLX9020 核心板带有 CPU、DDR2、NAND、SPI FLASH 等核心器件以及多种标准接口，以满足各种 应用需求。  ◆  紧凑的外型尺寸  SZLX9020核心板的外型尺寸为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm） 对外连接，可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。  ◆  全国产化  SZLX9020 核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/ 电源 IC 等）均为国产芯片，且除 CPU 外均与国外器件 PIN TO PIN 兼容，以适 应不同的设计需求。  ◆  工业级  SZLX9020核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/电源 IC 等）均选用-40°C~85°C的工业级标准温域，以适应恶劣环境。  ◆  极高性价比  作为一款工业级品质的工控产品，SZLX9020 核心板采用 6 层沉 金板设计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏 感的各种应用领域，是一款具有极高性价比的工业产品。,主要特点  ◆ 丰富的板载资源  作为一款高性能的嵌入式工控主板，SZLX9020 核心板带有 CPU、DDR2、NAND、SPI FLASH 等核心器件以及多种标准接口，以满足各种 应用需求。  ◆  紧凑的外型尺寸  SZLX9020核心板的外型尺寸为：55mm*45mm，核心板通过高性能的板对板连接器（pin 间距 0.8mm） 对外连接，可方便的插接在用户的应用底板上，以便快速搭建各种工控产品。  ◆  全国产化  SZLX9020 核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/ 电源 IC 等）均为国产芯片，且除 CPU 外均与国外器件 PIN TO PIN 兼容，以适 应不同的设计需求。  ◆  工业级  SZLX9020核心板全部元器件（CPU/DDR2/ NAND/ SPI FLASH/电源 IC 等）均选用-40°C~85°C的工业级标准温域，以适应恶劣环境。  ◆  极高性价比  作为一款工业级品质的工控产品，SZLX9020 核心板采用 6 层沉 金板设计，特别适用于运行环境恶劣、无人值守、连续 24 小时工作、对成本敏 感的各种应用领域，是一款具有极高性价比的工业产品。
,,,,
SZLX9020 核心板硬件特性,SZLX9020 核心板硬件特性,SZLX9020 核心板硬件特性,SZLX9020 核心板硬件特性,SZLX9020 核心板硬件特性
,,,,
,,,,
,,,,
,,,,
处  理器  ●  神州龙芯 GSC3290 处理器，主频最高达 300MHz  ●  集成 16KB 指令 Cache  ●  集成 16KB 数据 Cache,处  理器  ●  神州龙芯 GSC3290 处理器，主频最高达 300MHz  ●  集成 16KB 指令 Cache  ●  集成 16KB 数据 Cache,处  理器  ●  神州龙芯 GSC3290 处理器，主频最高达 300MHz  ●  集成 16KB 指令 Cache  ●  集成 16KB 数据 Cache,处  理器  ●  神州龙芯 GSC3290 处理器，主频最高达 300MHz  ●  集成 16KB 指令 Cache  ●  集成 16KB 数据 Cache,处  理器  ●  神州龙芯 GSC3290 处理器，主频最高达 300MHz  ●  集成 16KB 指令 Cache  ●  集成 16KB 数据 Cache
系统内存,系统内存,系统内存,系统内存,系统内存
