产品网址：http://www.toppcb.com/product/5
产品结构：root->产品中心_产品中心_天津普林电路股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|6 层一阶 HDI 印制板|无|无|
|陶瓷印制电路板|无|无|
|高速高频印制电路板|无|无|
|微波印制电路板|无|无|
|多层新能源汽车用沉锡印制板|无|无|
|10 层 POFV 工艺航空 HDI 印制板|无|无|
|32 层埋盲孔工艺阴阳铜结构航空 HDI 印制板|无|无|
|10 层 POFV 工艺沉银印制板|无|无|
|多种阻焊颜色印制板|无|无|
|刚挠结合印制板|无|无|
|阶梯板|无|无|
|一阶不规则叠层 HDI|最高层数：8 层，板厚：1.0，最小线宽/最小间距：0.075/0.075，表面处理：沉镍金|
|刚挠结合板|最高层数：4 层（2、3 层软板），板厚：1.7，最小线宽/最小间距：0.1/0.1，表面处理：沉镍金|
|单面双层铝基板|最高层数：3 层，板厚：2.0，最小线宽/最小间距：0.3/0.3，表面处理：有铅热风|
|BGA 盘中孔|无|无|
|二阶 HDI|最高层数：8 层，板厚：1.2，最小线宽/最小间距：0.075/0.075，表面处理：沉镍金|
|二阶（细密间距）HDI|最高层数：8 层，板厚：0.8，最小线宽/最小间距：0.075/0.075，表面处理：沉镍金+防氧化|
|二阶 HDI|无|无|
|高多层-16 层板|最高层数：16 层，板厚：2.4，最小线宽/最小间距：0.1/0.1，表面处理：沉镍金|
|高多层|最高层数：12 层，板厚：2.0，最小线宽/最小间距：0.1/0.1，表面处理：沉镍金|
|电源板|最高层数：10 层，板厚：2.9，最小线宽/最小间距：0.2/0.2（厚铜 2oz，回流线圈），表面处理：无铅热风|
