产品网址：https://en.coolsemi.com/product/IPM
产品结构：root->IPM-Productcenter-CoolSemi

|产品名称|产品型号|功能描述|
|--|--|--|
|IPM|CIM03D60C1B3、CIM03S50H1A1S/CIM03S50H1A1、CIM04S60C4A1S/CIM04S60C4A1、CIM05S50C2A1S/CIM05S50C2A1、CIM05S50C2A2S/CIM05S50C2A2、CIM05S50CPA1/CIM05S50CPA1S、CIM06S60C5A1S/CIM06S60C5A1、CIM07S50C1A1S/CIM07S50C1A1、CIM07S50C3A1/CIM07S50C3A1S、CIM07S50C3A2S/CIM07S50C3A2、CIS06D60L1B2、CIS06S60L1A1S/CIS06S60L1A1、CIS06S60L1C1、CIS06S60L1D1、CIS10D60L1B1、CIS10D60L2B1、CIS10S60L1C1、CIS10S60L1D1、CIS10S60Q1C1、CIS15D60L1B1、CIS15S60L1C1、CIS15S60L1D1、CIS15S60Q1C1、CIS20S60Q1C1、CIS30S60L1C1、CIS30S60Q1C1|IPM（Intelligent Power Module）集成了驱动电路和保护电路的专用控制 IC，外围电路设计更加紧凑和容易。控制 IC 与功率芯片性能的高匹配使模块更加可靠和稳定，保护功能响应更加准确和快速。CoolSemi 的 IPM 集成了高性能功率器件和高度匹配的驱动 HVIC，还集成了温度检测和自我保护功能。|

Product,Data Sheet,Series,Power Chip,Voltage Rating （V）,Current Rating（A）,Package Size,Package
The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed
CIS30S60Q1C1,Ask for,Mini,IGBT,600,30,38x24,DIP-24
CIS20S60Q1C1,Ask for,Mini,IGBT,600,20,38x24,DIP-24
CIS15S60Q1C1,Ask for,Mini,IGBT,600,15,38x24,DIP-24
CIS10S60Q1C1,Ask for,Mini,IGBT,600,10,38x24,DIP-24
CIM05S50CPA1/CIM05S50CPA1S,Ask for,Nano,MOS,500,5,29X12,SOP-23/DIP-23
CIM07S50C3A1/CIM07S50C3A1S,Ask for,Nano,MOS,500,7,29X12,SOP-23/DIP-23
CIM03S50H1A1S/CIM03S50H1A1,Ask for,Nano,MOS,500,3,29X12,SOP-23/DIP-23
CIM05S50C2A1S/CIM05S50C2A1,Ask for,Nano,MOS,500,5,29X12,SOP-23/DIP-23
CIM05S50C2A2S/CIM05S50C2A2,Ask for,Nano,MOS,500,5,29X12,SOP-23/DIP-23
CIM07S50C1A1S/CIM07S50C1A1,Ask for,Nano,MOS,500,7,29X12,SOP-23/DIP-23
CIM07S50C3A2S/CIM07S50C3A2,Ask for,Nano,MOS,500,7,29X12,SOP-23/DIP-23
CIM04S60C4A1S/CIM04S60C4A1,Ask for,Nano,MOS,600,4,29X12,SOP-23/DIP-23
CIM06S60C5A1S/CIM06S60C5A1,Ask for,Nano,MOS,600,6,29X12,SOP-23/DIP-23
CIS06S60L1A1S/CIS06S60L1A1,Ask for,Nano,IGBT,600,6,29X12,SOP-23/DIP-23
CIS10D60L2B1,Ask for,Micro,IGBT,600,10,32x15,DIP-25
CIS06D60L1B2,Ask for,Micro,IGBT,600,6,32x15,DIP-25
CIM03D60C1B3,Ask for,Micro,MOS,600,3,32x15,DIP-25
CIS10D60L1B1,Ask for,Micro,IGBT,600,10,32x15,DIP-25
CIS15D60L1B1,Ask for,Micro,IGBT,600,15,32x15,DIP-25
CIS06S60L1D1,Ask for,Slim,IGBT,600,6,32.8x18.8,DIP-27
CIS10S60L1D1,Ask for,Slim,IGBT,600,10,32.8x18.8,DIP-27
CIS15S60L1D1,Ask for,Slim,IGBT,600,15,32.8x18.8,DIP-27
CIS06S60L1C1,Ask for,Mini,IGBT,600,6,38x24,DIP-24
CIS10S60L1C1,Ask for,Mini,IGBT,600,10,38x24,DIP-24
CIS15S60L1C1,Ask for,Mini,IGBT,600,15,38x24,DIP-24
CIS30S60L1C1,Ask for,Mini,IGBT,600,30,38x24,DIP-24
