产品网址：http://www.hkhonm.com/product_detail/40.html
产品结构：root->硅麦克风-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|硅麦克风|无|MEMS 麦克风具有高可靠性、高稳定性、高一致性、低不良率和低返修率等优点。电容式硅麦克风芯片主要包括一个薄而有弹性的振动膜和一个刚性的背极板，背极板和振动膜组成一个平行板电容；振动膜将在声压的作用下产生位移，极板电压会随着振动膜的运动发生变化，从而将声信号转变为电信号。|

型号,输出类型,结构类型,产品尺寸  （mm）,灵敏度  @1kHz ref 1V/Pa,信噪比  (dB/dBFS),失真  (94dBSPL@1kHz),最大声学输入  (10% THD@1kHz)
HK8001,PDM,Bottom,3.50*2.65*0.98,-26,64.0,0.1,120
HK8002,PDM,LGA,4.0*3.0*1.0,-26,64.0,0.1,120
HK8003,PDM,Bottom,4.0*3.0*1.0,-26,64.0,0.1,120
HK8004,PDM,Bottom,2.75*1.85*0.90,-26,62.5,0.1,120
HK8005,PDM,Top,4.0*2.0*1.1,-26,64.0,0.1,120
HK8006,PDM,Bottom,3.50*2.65*0.98,-37,65.0,0.1,128
HK8007,Analog,Bottom,2.75*1.85*0.90,-38,62.0,0.1,123
HK8008,Analog,Bottom,2.75*1.85*0.90,-38,62.0,0.1,129
HK8009,Analog,Bottom,2.75*1.85*0.90,-38,62.0,0.1,129
HK8010,Analog,Bottom,2.75*1.85*0.90,-38,63.0,0.1,130
HK8011,Analog,Bottom,2.75*1.85*0.90,-38,64.0,0.1,130
HK8012,Analog,Bottom,2.75*1.85*1.00,-38,66.0,0.1,130
HK8013,Analog,LGA,3.50*2.65*1.00,-38,65.0,0.1,123
HK8014,Analog,LGA,3.76*2.95*1.10,-38,65.0,0.1,123
HK8015,Analog,Bottom,3.76*2.95*1.10,-38,63.0,0.1,123
HK8016,Analog,Top,2.75*1.85*1.0,-38,62.0,0.1,128
HK8017,Analog,Bottom,3.50*2.65*0.98,-38,65.0,0.1,128
HK8018,Analog,Top,3.76*2.24*1.10,-42,58.0,0.1,130
HK8019,Analog,Top,3.76*2.95*1.10,-42,59.0,0.1,130
HK8020,Analog,Top,2.75*1.85*0.95,-42,59.0,0.1,130
