产品网址：http://www.hkhonm.com/product_detail/71.html
产品结构：root->HK2498A2-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|HK 机架式服务器|HK2498A2|具有高扩展、高性能、高能效、可灵活部署等特性，AI 计算性能可达每秒五千万亿次，适用于图像视频、语音识别、智能客服等典型 AI 应用场景。采用高速互联技术互联结构，4U 空间可搭载 8 颗 Cambricon MLU290-M5/MLU370-M8 的高速互联 GPU，任意两个 GPU 之间可以直接进行数据 P2P 交互，可实现 448GB/s 的传输带宽；同时配置 2 颗 AMD EPYC 7000 系列 PCIe4.0CPU，配合 XGMI-2 总线互联设计，提供超高级通用计算性能。4U 尺寸、冗余供电设计使其适用于更广泛的数据中心部署环境，为客户提供极高的可靠性和稳定性；同时使用更加灵活的集群部署方案，并能实现从硬件到应用的集成部署。此外，系统内采用 54V 供电方案，能效更高；分层分区域散热通道设计以及智能调控策略，可获得最佳的散热效率。能够帮助 AI 用户高效完成 AI 基础设施和开发环境的构建，在享受高计算性能的同时降低部署、运行成本。|

组件,描述
上市时间,2022-0  10
规格,4U机架式
处理器,支持  2个AMD  EPYC  7003  系列  CPU  最大热设计功率  280W
GPU,支持  8  颗  Ca  m  b  r  i  c  o  n  M  L  U  2  9  0  -  M5  /  M  L  U  370  -  M8  G  P  U  支持单  GPU  TDP  350W，有条件支持450W  支持  Cambricon高速互联技术MLU-Link连接拓扑
内存,支持  RDIMM与LRDIMM内存  最大支持  32根内存  内存最大速度可达  3200M  T  /  s  内存总容量最大支持  4TB


存储,前置面板支持  8块2.5英寸SAS/SATA  SSD，最大支持4  块  2.5  英寸  NVMe SSD  前置  PCIe卡支持M.2  SSD  后置面板支持  4个企业级M.2  NVMe  SSD
I/O接口,2个前置USB  3.0接口  1个前置VGA接口  1个前置BMC  Debug接口  1  个后置  R  J  45  B  M  C  管理网口  1  个后置  R  J  45  S  w  i  t  c  h  B  M  C  管理网口
显示控制器,AST2500内部集成  分辨率最大支持  1920  ×  1200
网络,PCIe网卡
I/O扩展,支持  4张后置PCIe  Gen4  x16  75W  low-profile  PCIe  Card  支持  1张前置PCIe  Gen4  x16  75W  low-profile  PCIe  Card
风扇,后置  6个8086风扇，支持N+1转子冗余  内置  2个6056风扇
电源,支持  4个3000W  80Plus铂金PSU  支持  2+2冗余模式
系统管理,智能管理系统（  ISBMC）  物理基础设施管理平台（  SPIM）  Server Intelligent Boot  (SIB)
操作系统,RHEL  8.X  CentOS  8.X  Ubuntu  20.04


主机尺寸  （高  ×宽×深）,17  6  mm  ×  4  83  mm  ×  88  9  mm（不含挂耳）  17  6  mm  ×  533  mm  ×  909  mm（含挂耳）
外包装箱尺寸  （长  ×宽×高）,1  23  0mm  ×  8  60mm  ×  3  83  mm（包装箱尺寸）  1  3  00mm  ×  9  00mm  ×  52  3mm（带托盘整体尺寸）
重量,满配净重：  65kg  毛重：  97kg  （毛重包括：主机  +包装箱+导轨+配件盒+托盘）
