产品网址：http://www.hkhonm.com/product_detail/74.html
产品结构：root->HK8412M2-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|边缘计算 AI 服务器|HK8412M2|便携式基础 AI 服务器，可满足简单基础的 AI 计算和数据搬迁两类场景需求。机箱采用便携式设计，可支持 20G 抗震、IPX5 防水。结构设计灵活，可满足边缘 AI 算力和大容量数据搬迁两类场景需求。配置 GPU 卡进行边缘推理，如工业质检、智能安防、语音 AI 等。配置大容量硬盘，支持端到端数据加密迁移，帮助业务快速上云或数据异地搬迁。|

组件,描述
处理器,处理器类型：  Intel  Skylake-SP  /Cascade  lake  平台处理器  (支持最大  TDP  规格:105W  )  单路  CPU  方案
芯片组,芯片组类型：Intel® C620  series  chipset  (Lewisburg-2)
内存,内存类型：DDR4  3200MHz  内存插槽数：8  个  内存总容量：最大支持  512GB（单条 64GB）
GPU,2070s/T4：支持  1  个  2070s  或者  1  个  T4
I/O  接口,USB  接口：前置  6  个  USB3.0  接口，内置  2  个  COM  口：板内  header  VGA  接口：1  个前置  VGA  接口  管理网口：1  个前置  RJ45  PCIe：5  个  Slimline x8  连接器，可扩展  2  个  PCIe  x16+1  个  PCIe  x8
显示控制器,控制器类型：  Aspeed  2500  内部集成，最大分辨率支持  1900*1200
硬盘,硬盘类型：  最大支持：9  个  3.5  英寸  SATA  硬盘  内置  1  个  M.2 硬盘
电源,规格：1  个  850W  ATX  电源，不支持冗余  电源输入：100-240V~010-6A  50-60Hz
物理规格,包装箱外尺寸：W（宽）657mm；H（高）605mm；D（深）457  mm  主机尺寸：W（宽）460mm；H（高）425mm；D（深）210mm  产品重量：满配净重  23kg  毛重：26kg。（毛重包括：主机+包装箱+配件盒  ）
环境参数,工作环境温度：0℃-45℃  贮存运输温度：-40℃~70℃  工作湿度：5％-95％相对湿度  贮存运输湿度：  5％-95％相对  湿度
