产品网址：http://www.szcsw.cn/product/75.html
产品结构：root->动力电池BMS48S主从一体控制器_深圳市超思维电子股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|动力电池 BMS48S 主从一体控制器|AIO-01-48S-16T|内部集成电压采集、温度采集、总压采集、电流检测（分流器需接在电池总负端）、对外通讯、安全控制等功能，适用于电动交通和储能等领域|

序号,型号,规格
1,AIO-01-48S-16T,12/24V、48S、16T、3路CAN、6路继电器控制输出


项目指标,额定规格,误差,备注
模块工作电源,12V/24V,/,工作范围：6~32V
BMS工作功耗,0.8W,/,功耗范围：0.8~3.6W
总电压检测范围,0~900VDC,≤0.5%FSR,满量程
充放电电流检测,±500A,≤1%FSR,满量程
SOC估算精度,≤5%,/,综合工况
温度检测点数,16,/,/
单体电池电压检测范围,0~5V,±10mV,-40~85℃
电池组采集温度范围,-40~125℃,/,≤±1℃（NTC，@0~65℃）  ≤±2℃（NTC，@-40 ~0℃）  ≤±2℃（NTC，@65~125℃）
巡检周期,˂10mS,/,/
电池均衡原理,/,/,被动均衡
最大均衡电流,50mA~100mA,/,/
风扇控制,2A/30V,/,/
加热控制,2A/30V,/,/
继电器输出控制,6路,/,3路高边和3路低边驱动
国标充电信号检测,/,/,支持交流充电CC、CP信号检测，支持快充CC2信号检测，支持充电枪温度检测
CAN通讯,3路,/,1路内部CAN，1路整车CAN，1路充电CAN
绝缘故障判断依据,/,/,GB/T18384.3-2015
绝缘监测电压范围,30V~900V,±3KΩ  （  0  ～  20KΩ）,±10%  （  ≥200KΩ）
