产品网址：http://www.szcsw.cn/product/72.html
产品结构：root->动力电池BMS54S从控控制器_深圳市超思维电子股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|动力电池 BMS54S 从控控制器|LECU-01-54S-20T|应用搭配主控模块，最大可采集 54S 单体电池电压，20 路电池温度，具备被动均衡功能，适用于储能基站、电动车、UPS 等。该模块采用汽车级 AD16 位转换芯片，高低压隔离设计，具有精度高、抗扰性好、可靠性高，结构紧凑等特点|

序号,型号,规格
1,LECU-01-54S-20T,12/24V、54S电池、20路电池温度、1路CAN、2路继电器控制输出


项目指标,规格,误差,备注
模块工作电源,9~32V,/,12V：9~16V  24V：16~32V
额定工作功率,˂2W,/,/
电池检测串数,54 串,/,/
温度检测点数,20路,/,/
单体电池电压检测范围,0~5V,/,/
巡检周期,˂10mS,/,/
电池均衡原理,被动均衡,/,/
最大均衡电流,50mA,/,/
风扇控制,2A/30V,/,/
加热控制,2A/30V,/,/
通信接口,1,/,/
电流采集,±500A,,可选
