产品网址：http://www.mk-dz.cn/Product/5703981129.html
产品结构：你的位置：首页->产品推荐->驱动芯片IC->工业驱动芯片

|产品名称|产品型号|功能描述|
|--|--|--|
|工业驱动芯片|纯国产 LM5021|离线式脉宽调制 PWM 控制；基于电流模式控制；输入电压 8V-30V；温度范围-40℃~125℃；最大占空比 85%；封装形式 VSSOP-8|

型号,功能描述,控制模式,输入电压,温度范围,最大占空比,封装形式,替代进口TI,规格书
CD5022,电流模式升压、SEPIC 和反激式控制,基于电流模式控制,6V-60V,-40℃~125℃,90%,VSSOP-10,LM5022,预览下载
CD5021,离线式脉宽调制PWM控制,基于电流模式控制,8V-30V,-40℃~125℃,85%,VSSOP-8,LM5021,预览下载
CD5041,级联PWM控制,基于电流模式控制,15V-90V,-40℃~125℃,—,TSSOP-16/WSON-16,LM5041,预览下载
CD5032,电流型高压PWM控制,基于电流模式控制,13V-100V,-40℃~125℃,76%,TSSOP-16,LM5032,预览下载
CD5020,电流型高压PWM控制,基于电流模式控制,13V~80V,-40℃~125℃,80%,VSSOP-10,LM5020,预览下载
CD5020A,电流型高压PWM控制,基于电流模式控制,13V~90V,-40℃~125℃,80%,VSSOP-10/WSON-10,LM5020A,预览下载
CD5026,电流型有源嵌位PWM控制,基于电流模式控制,13V~100V,-40℃~125℃,76%,TSSOP-16/WSON-16,LM5026,预览下载
CD5030,电流型高压PWM推挽控制,基于电流模式控制,14V~90V,-40℃~125℃,50%,VSSOP-10/WSON-10,LM5030,预览下载
CD5025,电压型有源嵌位PWM控制,前馈电压模式控制,13V~100V,-40℃~125℃,80%,TSSOP-16/WSON-16,LM5025,预览下载
CD5035,半桥拓扑功率转换PWM控制,电压控制模式,13V~100V,-40℃~125℃,0%,HTSSOP-20/WQFN-24,LM5035,预览下载
