产品网址：https://huahuan.com/en/index.php?m=default.product_detail&fid=2&ccid=&scid=100&ncid=103&deid=165
产品结构：root->Huahuan_Products_H9MO-LMECompactSDHMultiplexer

|产品名称|产品型号|功能描述|
|--|--|--|
|Compact SDH Multiplexer|H9MO-LME|是 Huahuan 的 Metro-Edge Express SDH/MSPP 产品家族的成员，旨在建立接入网络，提供 TDM 和以太网服务，以满足当今网络演进的需求。采用组合设计，系统板、电源板和接口板混合组装。可提供 1/2 STM-1 端口、2/4 快速以太网端口、4/8/16 E1 端口和 V.35 端口，适用于不同网络，实现非常灵活的组网。支持 1+1 MSP、SNCP 保护，管理通道可为 DCC/E1/VC12，嵌入 E1 BERT 测试，内部时钟/外部时钟/线路时钟/时钟保持，以太网服务支持 GFP 封装、VC12 虚拟级联和 LCAS、PVLAN、802.1Q。支持不同端口的 STM-1（单核可用）、FE（电）、E1/V.35/E3/DS3 服务|

STM-1 Fiber Port,STM-1 Fiber Port.1,STM-1 Fiber Port.2
Bit rate:,155520kbit/s 4.6ppm,155520kbit/s 4.6ppm
Line code:,Scrambled NRZ,Scrambled NRZ
E1 Port,E1 Port,E1 Port
Bit rate:,2.048 Mbps ± 50 ppm,2.048 Mbps ± 50 ppm
Line code:,HDB3,HDB3
Connector,"BNC (4 E1/8 E1 interface board), RJ-48 C (4 E1/8 E1/16 E1 interface board)or CC4 (16 E1 interface board)","BNC (4 E1/8 E1 interface board), RJ-48 C (4 E1/8 E1/16 E1 interface board)or CC4 (16 E1 interface board)"
Impedance:,RJ48C: Default: 75 Option /T: 120 BNC: 75,RJ48C: Default: 75 Option /T: 120 BNC: 75
Number of ports:,"0, 4, 8,16","0, 4, 8,16"
V.35 Port,V.35 Port,V.35 Port
Bit rate:,"Framed N*64kbps, 1≤N≤31;",Unframed 2048kbit/s
Work mode,"DCE, DTE selectable","DCE, DTE selectable"
connector,DB15 interface,DB15 interface
Quantity,1 or 2,1 or 2
Ethernet Port/ Management Port,Ethernet Port/ Management Port,Ethernet Port/ Management Port
Rate:,2M~100M,2M~100M
Interface mode:,single channel,single channel
,100 Base-Tx / 10 Base-Tx full-duplex/half-duplex,100 Base-Tx / 10 Base-Tx full-duplex/half-duplex
,"Multichannel Ethernet: auto-negotiation, 100 Base-Tx full-duplex","Multichannel Ethernet: auto-negotiation, 100 Base-Tx full-duplex"
Transmission mode,EoS or EoE selectable,EoS or EoE selectable
MTU,EoS: can set for 2000 or 2032 bytes,EoE: fixed 2032bytes
Connector,RJ45,RJ45
Quantity,2 or 4,2 or 4
Timing,Timing,Timing
"Internal, STM-1 line, E1 tributary line","Internal, STM-1 line, E1 tributary line","Internal, STM-1 line, E1 tributary line"
Mechanical/Electrical,Mechanical/Electrical,Mechanical/Electrical
Dimension:,H9MO-LME-01T0442CHR/01A0442CHR:  44mm x 258mm x 440mm(H/D/W),H9MO-LME-01T0442CHR/01A0442CHR:  44mm x 258mm x 440mm(H/D/W)
Dimension:,Other models size: 44mm x 136mm x 440mm(H/D/W),Other models size: 44mm x 136mm x 440mm(H/D/W)
Net weight:,≤2.5kg,≤2.5kg
Power (AC):,"100 ~ 240 V, 50/60Hz","100 ~ 240 V, 50/60Hz"
Power (DC):,"-48 V(-72V ~ -36V), +24V(18V~36V)or +12V(9V ~ 18V)","-48 V(-72V ~ -36V), +24V(18V~36V)or +12V(9V ~ 18V)"
Consumption:,≤12W(without PCM cards) or ≤ 16W(within PCM cards),≤12W(without PCM cards) or ≤ 16W(within PCM cards)
Working temp,0 ~ 45°C,0 ~ 45°C
Humidity:,0-90%RH (non-condensing),0-90%RH (non-condensing)
Standard Compliance,"TU-T G.703, G.704, G.707, G.736, G.781, G.783, G.784, G.798, G.803, G.811, G.813, G.823, G.825, G.826, G.841, G.957, G.7041, G.7042, IEEE802.3, 802.1Q, 802.1P, O.150","TU-T G.703, G.704, G.707, G.736, G.781, G.783, G.784, G.798, G.803, G.811, G.813, G.823, G.825, G.826, G.841, G.957, G.7041, G.7042, IEEE802.3, 802.1Q, 802.1P, O.150"
Standard Compliance,"TU-T G.703, G.704, G.707, G.736, G.781, G.783, G.784, G.798, G.803, G.811, G.813, G.823, G.825, G.826, G.841, G.957, G.7041, G.7042, IEEE802.3, 802.1Q, 802.1P, O.150","TU-T G.703, G.704, G.707, G.736, G.781, G.783, G.784, G.798, G.803, G.811, G.813, G.823, G.825, G.826, G.841, G.957, G.7041, G.7042, IEEE802.3, 802.1Q, 802.1P, O.150"
Standard Compliance,"TU-T G.703, G.704, G.707, G.736, G.781, G.783, G.784, G.798, G.803, G.811, G.813, G.823, G.825, G.826, G.841, G.957, G.7041, G.7042, IEEE802.3, 802.1Q, 802.1P, O.150","TU-T G.703, G.704, G.707, G.736, G.781, G.783, G.784, G.798, G.803, G.811, G.813, G.823, G.825, G.826, G.841, G.957, G.7041, G.7042, IEEE802.3, 802.1Q, 802.1P, O.150"


Items,Standards and Protocols
SDH Interface,"ITU-T G.957, G.707"
E1 port,"ITU-T G.703  , G.704"
Clock port,ITU-T  G.823
Ethernet port,IEEE 802  G.7041/G.704 2/G.7043 and G.8040
