产品网址：https://huahuan.com/en/index.php?m=default.product_detail&fid=2&ccid=44&scid=60&ncid=61&deid=147
产品结构：root->Huahuan_Products_SmartEnterpriseGateway_H20PN-2000PTNAggregation

|产品名称|产品型号|功能描述|
|--|--|--|
|PTN Aggregation Devices|H20PN-2000|提供强大的容量、高端口密度和多种端口，具有非常紧凑的机箱。支持 GE/FE/STM-1/STM-4/E1 端口。专注于提供商的 IP/MPLS 传输网络边缘。非常适合为客户提供端到端的可用性、可靠性和 QoS 保证的 L2VPN、L3VPN 和 CES 服务。设计用于帮助提供商克服城域接入层的资源、成本和服务挑战，为提供商及其客户带来价值。提供 Huahuan 自主拥有的统一 NMS 平台 ---- EzView 用于 H20RN 系列 OAM。具有管理功能、二层功能、OAM 功能、MPLS-TP 功能、可靠性功能、QoS 功能、CES 功能和同步功能。|

Model,Info
Main Control Card,NM RJ45+Console port
Packet Interface Card,2*10GX Interface Card
Packet Interface Card,8*GX Interface Card
Packet Interface Card,4*GX Interface Card
Packet Interface Card,8*FX/FE Interface Card
CES Card,E1 Circuit Emulation Service Interface Card
CES Card,STM-1Circuit Emulation Service Interface Card
CES Card,STM-4Circuit Emulation Service Interface Card
Power Supply Card,DC -48V Power Supply Card
Power Supply Card,AC 220V Power Supply Card
Clock Card,Clock Card
Fan Unit,Fan Unit
