产品网址：https://www.lynxi.com/lq2001/1.html
产品结构：产品中心类脑芯片处理器->领启®KA200(-S)系列->HE200

|产品名称|产品型号|功能描述|
|--|--|--|
|类脑芯片处理器|领启®KA200(-S)系列|支持深度学习神经网络、生物神经网络和大规模脑仿真|
|类脑计算模组|领启®KA200(-S)系列|无|
|类脑计算加速卡|领启®KA200(-S)系列|无|
|类脑计算服务器|领启®KA200(-S)系列|无|
|类脑计算边缘产品|领启®KA200(-S)系列|无|
|软件开发平台|LynOS®|算法模型支持度广，控制流与数据流融合，多层次多粒度协同工作|

AI 处理器,KA200(-S),KA200(-S).1
计算单元数量,30组计算单元,30组计算单元
神经元数量,25万个,25万个
神经突触,2500万个,2500万个
单芯片计算能力,INT8,48 TOPS
单芯片计算能力,FP16,24 TFLOPS
Resnet50 V1.5推理性能,1250 fps@FP16,1250 fps@FP16
内存类型,LPDDR4x,LPDDR4x
内存容量,8 GB,8 GB
内存位宽,64 bit,64 bit
运行频率,1600 MHz,1600 MHz
峰值带宽,25.6GB/s,25.6GB/s
ECC,支持，默认关闭,支持，默认关闭
图像处理能力,独特内置硬件图像处理加速引擎  Resize、Mirror、Flip、Rotate、Crop、Padding、C2C,独特内置硬件图像处理加速引擎  Resize、Mirror、Flip、Rotate、Crop、Padding、C2C
编解码能力,支持 H.264、H.265视频格式硬件解码，  最高视频解码性能 500fps@1920*1080  支持 H.264、H.265 视频格式硬件编码，最高视频编码  性能 250fps@1920*1080  支持 JPEG 图 像 硬 件 解 码， 最 高 图 像 解 码 性 能  250fps@1920*1080  支持 JPEG 图 像 硬 件 编 码， 最 高 图 像 编 码 性 能  300fps@1920*1080,支持 H.264、H.265视频格式硬件解码，  最高视频解码性能 500fps@1920*1080  支持 H.264、H.265 视频格式硬件编码，最高视频编码  性能 250fps@1920*1080  支持 JPEG 图 像 硬 件 解 码， 最 高 图 像 解 码 性 能  250fps@1920*1080  支持 JPEG 图 像 硬 件 编 码， 最 高 图 像 编 码 性 能  300fps@1920*1080
工作温度,-10℃~75℃,-10℃~75℃
存储温度,-40℃~+105℃,-40℃~+105℃
工作湿度,5%RH~90%RH（非冷凝）,5%RH~90%RH（非冷凝）
存储湿度,5%RH~95%RH（非冷凝）,5%RH~95%RH（非冷凝）
PCI Express接口,PCIe Gen4.0 x4，兼容3.0/2.0/1.0,PCIe Gen4.0 x4，兼容3.0/2.0/1.0
电源,提供5.5A@12V及3A@3.3V标准供电能力,提供5.5A@12V及3A@3.3V标准供电能力
散热方式,主动散热(风扇散热),主动散热(风扇散热)
尺寸,169.5mm×111.45mm,169.5mm×111.45mm
重量,280g,280g
整板合计功耗,25W,25W
