产品网址：https://www.lynxi.com/lq2002/4.html
产品结构：产品中心类脑计算模组->领启®KA200(-S)系列->HM100

|产品名称|产品型号|功能描述|
|--|--|--|
|类脑计算模组|HM100|适用于嵌入式系统和边缘系统，可广泛用于智能摄像机、机器人等强算力 AI 场景和脑科学研究。具有卡片式设计、标准接口、大算力、高能耗比、高度集成、编解码能力、独特片上加速引擎等核心优势。提供 48TOPS@INT8、24TFLOPS@FP16 的强大算力和 8G 大容量内存，最大功耗为 15W。内置高速图像预处理单元，为视频、图像、语音应用开发提供高效易用的前后处理模块，提升整体应用能力。友好的 SDK 开发环境，便于用户快速在设备上进行相关开发工作。快速支持各类深度学习神经网络模型、事件驱动的生物神经网络和脉冲类神经网络的实现和加速，大大缩短了产品的开发周期。|

AI 处理器,领启®KA200(-S)
计算单元数量,30组计算单元
神经元数量,25万个
神经突触,2500万个
算力,48 TOPS@INT8 ；24 TFlops@FP16Mix
内存容量,8GB
内存,LPDDR4X 8GB
内存位宽,64bit
内存峰值带宽,25.6 GB/s
eMMC存储器,容量：32GB，支持从eMMC启动
图像处理能力,独特内置硬件图像处理加速引擎  Resize、Mirror、Flip、Rotate、Crop、Padding、C2C  、Affine、Merge 等
编解码能力,支持 H.264、H.265、VP9、MPEG4 视频格式硬件解码，  最高视频解码性能 500fps@1920*1080  支持 H.264、H.265 视频格式硬件编码，最高视频编码  性能 250fps@1920*1080  支持 JPEG 图 像 硬 件 解 码， 最 高 图 像 解 码 性 能  250fps@1920*1080  支持 JPEG 图 像 硬 件 编 码， 最 高 图 像 编 码 性 能  300fps@1920*1080
接口规格,260-pin SO-DIMM
高速接口,PCIe/Ethernet
低速接口,I2C×3、SPI×1、UART×2、GPIO×15
工作温度,25°C ~65°C（不带风扇）-10°C ~65°C（带风扇）
存储温度,-40℃ ~85℃（不带风扇）-40℃ ~70℃（带风扇）
工作湿度,5%RH~90%RH（非冷凝）
存储湿度,5%RH ～ 95%RH（非冷凝，不带风扇） 5%RH ～ 90%RH（非冷凝，带风扇）
功耗,峰值功耗 15W，典型功耗 7W
深度学习框架,TensorFlow、Caffe、Pytorch、MxNet、Keras、ONNX 等
编译工具,Lyngor® Compiler
尺寸(mm),69.6×45
重量,20g（无风扇），80g（含风扇）
