产品网址：https://www.lynxi.com/lingqiKA2001/14.html
产品结构：产品中心类脑计算服务器->领启®KA200(-S)系列->SL800

|产品名称|产品型号|功能描述|
|--|--|--|
|类脑计算服务器|SL800|是一款应用于新一代人工智能、类脑计算、脑科学研究的高效算力平台。在 4U 标准机架机箱中，搭载海光处理器、类脑计算卡构建而成，标准机型最大可搭载 12 张类脑计算卡。具有超强的算力密度和超高能效等特点，支持深度学习模型（DNN）、生物神经模型（SNN）以及二者融合的异构模型，支持任意 SNN 层和 DNN 层的混搭和组网，融合计算机科学的高精度和类脑计算的高能效等优点，可广泛适用于类脑计算研究，智能安防、智慧交通、人工智能教育等多个行业。|

规格,4U机架式标准机箱
CPU,支持HG7385、HG7365、HG7360、HG7365
类脑计算卡,支持选配以下4款类脑计算卡之一：  HP100、HP201、HP300  类脑计算卡数量支持1～12个。
内存,支持 DDR4 2666MHz，32 根 DIMM，最大 2TB 容量
存储,前置  3.5”SATA/SAS 硬盘接口（或 2.5”_HDD/SSD）×24 （24 盘需 3 张 HBA/Raid 支持）  板载  M.2 接口×2
网络接口,千兆 IPMI 管理端口×1  板载千兆电口×2  10GbE 光口×2
I/O扩展插槽,PCIe 3.0 x16 扩展槽×20  支持10个类脑计算卡或16个GPU板卡；
接口,前置：USB2.0 接口×2  后置：USB3.0 接口×4  前置：VGA 接口×1  后置：VGA 接口×1
电源,CRPS800W×4，3＋1 冗余
尺寸,L×W×H：846mm×447.6mm×173.9mm
设备净重,40.64Kg
工作温度,5℃～35℃
