产品网址：http://www.huitronic.com/product_show.php?id=169
产品结构：root->AEM车用系列保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|--|--|--|
|AEM 车用系列保险丝|无|自有专利技术研制，高密封性的中空结构，优异的可靠性和稳定性，宽泛的额定电流和电压，最高至 20A，250V，适用于工业应用|

Supplier Part Number,Part Series,Fuse Type,Size,Current Rating,Voltage Rating,Interrupting Rating,Reel Qty,Standard Package,Status,Package Type
QF1206FA500T,Automotive QF F-Series,Fast Acting,1206,0.50A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206FA750T,Automotive QF F-Series,Fast Acting,1206,0.75A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206F1A00T,Automotive QF F-Series,Fast Acting,1206,1.00A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206F1A50T,Automotive QF F-Series,Fast Acting,1206,1.50A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206F1A75T,Automotive QF F-Series,Fast Acting,1206,1.75A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206F2A00T,Automotive QF F-Series,Fast Acting,1206,2.00A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206F2A50T,Automotive QF F-Series,Fast Acting,1206,2.50A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206F3A00T,Automotive QF F-Series,Fast Acting,1206,3.00A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206F4A00T,Automotive QF F-Series,Fast Acting,1206,4.00A,32VDC,45A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206F5A00T,Automotive QF F-Series,Fast Acting,1206,5.00A,32VDC,45A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206F6A00T,Automotive QF F-Series,Fast Acting,1206,6.00A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206F7A00T,Automotive QF F-Series,Fast Acting,1206,7.00A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206F8A00T,Automotive QF F-Series,Fast Acting,1206,8.00A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF0603FA500T,Automotive QF F-Series,Fast Acting,603,0.50A,63VDC,35A @ 63VDC,4000,4000,Active,Tape & Reel
