产品网址：http://www.huitronic.com/product_show.php?id=172
产品结构：root->SMD0805--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|保险丝|SMD0805|无|

Model,V-max(Vdc),I-max(A),I-hold(A),I-trip(A),Agency?Appr oval
SMD0805-010,15.0,100.0,0.1,0.3,RoHS
,,,,,
SMD0805-010-24V,24.0,100.0,0.1,0.3,RoHS
SMD0805-020,9.0,100.0,0.2,0.5,UL/RoHS
,,,,,
SMD0805-020-13.2V,13.2,100.0,0.2,0.5,RoHS
SMD0805-025,9.0,100.0,0.25,0.55,RoHS
SMD0805-035,6.0,100.0,0.35,0.75,UL/RoHS
,,,,,
SMD0805-050,6.0,100.0,0.5,1.0,UL/RoHS
,,,,,
SMD0805-075,6.0,40.0,0.75,1.5,UL/RoHS
,,,,,
SMD0805-100,6.0,100.0,1.0,1.95,UL/TUV/RoHS
,,,,,
SMD0805-110,6.0,100.0,1.1,2.2,UL/RoHS
,,,,,
SMD0805-125,6.0,100.0,1.25,2.5,RoHS
