产品网址：http://www.huitronic.com/product_show.php?id=168
产品结构：root->AEM叠层贴片保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|AEM 叠层贴片保险丝|无|独石结构，玻璃陶瓷基体，内部银熔体；银电极表面镀镍和焊料（无铅），有极好的可焊性；适用于波峰焊和回流焊；使用温度范围：-55℃～+125℃；编带和卷盘包装|

Supplier Part Number,Part Series,Fuse Type,Size,Current Rating,Voltage Rating,Interrupting Rating,Reel Qty,Standard Package,Status,Package Type
F1206VH2500TM,SolidMatrix? VH Series,Voltage High,1206,2.50A,65V,60A@ 65VDC 80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH3000TM,SolidMatrix? VH Series,Voltage High,1206,3.00A,65V,60A@ 65VDC 80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH3500TM,SolidMatrix? VH Series,Voltage High,1206,3.50A,65V,60A@ 65VDC 80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH4000TM,SolidMatrix? VH Series,Voltage High,1206,4.00A,65V,60A@ 65VDC 80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH4500TM,SolidMatrix? VH Series,Voltage High,1206,4.50A,65V,60A@ 65VDC 80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH5000TM,SolidMatrix? VH Series,Voltage High,1206,5.00A,65V,60A@ 65VDC 80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH6000TM,SolidMatrix? VH Series,Voltage High,1206,6.00A,48V,80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH7000TM,SolidMatrix? VH Series,Voltage High,1206,7.00A,48V,80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206VH8000TM,SolidMatrix? VH Series,Voltage High,1206,8.00A,48V,80A@48VDC 100A@32VDC,3000,3000,Active,Tape and Reel
F1206HC10A0TM,SolidMatrix? HC Series,High Current,1206,10A,35VDC,150A@35VDC,3000,3000,Active,Tape and Reel
F1206HC12A0TM,SolidMatrix? HC Series,High Current,1206,12A,35VDC,150A@35VDC,3000,3000,Active,Tape and Reel
F1206HC15A0TM,SolidMatrix? HC Series,High Current,1206,15A,35VDC,150A@35VDC,3000,3000,Active,Tape and Reel
F1206HC20A0TM,SolidMatrix? HC Series,High Current,1206,20A,35VDC,150A@35VDC,3000,3000,Active,Tape and Reel
F1206HC25A0TM,SolidMatrix? HC Series,High Current,1206,25A,35VDC,200A@35VDC,3000,3000,Active,Tape and Reel
F1206HC30A0TM,SolidMatrix? HC Series,High Current,1206,30A,35VDC,200A@35VDC 300A@26VDC,3000,3000,Active,Tape and Reel
F1206HC40A0TM,SolidMatrix? HC Series,High Current,1206,40A,35VDC,200A@35VDC 300A@26VDC,3000,3000,Active,Tape and Reel
F1206FA0500V063T,SolidMatrix? FA Series,Fast Acting,1206,0.50A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA0750V063TM,SolidMatrix? FA Series,Fast Acting,1206,0.75A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA0750V063T,SolidMatrix? FA Series,Fast Acting,1206,0.75A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA1000V063TM,SolidMatrix? FA Series,Fast Acting,1206,1.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
