产品网址：http://www.huitronic.com/product_show.php?id=179
产品结构：root->场效应MOS管--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|场效应 MOS 管|无|无|

Part No.,产品类别,电压,电流
MC019R150SH,SGT工艺中低压MOS,150V,80A
MF120R200SL,SGT工艺中低压MOS,200V,10A
MK006R080SH,SGT工艺中低压MOS,80V,85A
MK8D5R100SL,SGT工艺中低压MOS,100V,100A
MK010R120SH,SGT工艺中低压MOS,120V,100A
ML4D5R100SL,SGT工艺中低压MOS,100V,150A
MK017R100TH,沟槽工艺中低压MOS,100V,55A
MK5D5R030TL,沟槽工艺中低压MOS,30V,75A
MC005R060TH,沟槽工艺中低压MOS,60V,155A
MC015R060TH,沟槽工艺中低压MOS,60V,50A
MC007R060TL,沟槽工艺中低压MOS,60V,80A
MC7D5R080TH,沟槽工艺中低压MOS,80V,100A
MC008R040TL,沟槽工艺中低压MOS,40V,80A
MC008R075TH,沟槽工艺中低压MOS,75V,75A
MC3D5R040TH,沟槽工艺中低压MOS,40V,150A
