产品网址：http://www.huitronic.com/product_show.php?id=177
产品结构：root->AEM薄膜贴片保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|AEM 薄膜贴片保险丝|T0603FF|采用独特的薄膜技术及合金熔丝设计，拥有超低 DCR 和高承载浪涌能力，非常适合应用于电池供电产品，如笔记本电脑、平板电脑、数码相机、玩具、蓝牙耳机及便携式电子设备|

Supplier Part Number,Part Series,Size,Current Rating,Voltage Rating,Interrupting Rating,Reel Qty,Standard Package,Status,Package Type
T0603HI0500TM,Thin Film HI Series,603,0.50A,65VDC,50A@35V DC/AC 13A@65V DC,4000,4000,Active,Tape and Reel
T0603HI0750TM,Thin Film HI Series,603,0.75A,65VDC,50A@35V DC/AC 13A@65V DC,4000,4000,Active,Tape and Reel
T0603HI1000TM,Thin Film HI Series,603,1.00A,65VDC,50A@35V DC/AC 13A@65V DC,4000,4000,Active,Tape and Reel
T0603HI1500TM,Thin Film HI Series,603,1.50A,65VDC,50A@35V DC/AC 13A@65V DC,4000,4000,Active,Tape and Reel
T0603HI2000TM,Thin Film HI Series,603,2.00A,35VDC,35A@35V DC/AC 50A@24V DC/AC,4000,4000,Active,Tape and Reel
T0603HI2500TM,Thin Film HI Series,603,2.50A,35VDC,35A@35V DC/AC 50A@24V DC/AC,4000,4000,Active,Tape and Reel
T0603HI3000TM,Thin Film HI Series,603,3.00A,35VDC,35A@35V DC/AC 50A@24V DC/AC,4000,4000,Active,Tape and Reel
T0603HI3500TM,Thin Film HI Series,603,3.50A,35VDC,35A@35V DC/AC 50A@24V DC/AC,4000,4000,Active,Tape and Reel
T0603HI4000TM,Thin Film HI Series,603,4.00A,35VDC,35A@35V DC/AC 50A@24V DC/AC,4000,4000,Active,Tape and Reel
T0402FF0200TM,Thin Film FF Series,402,0.200A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF0250TM,Thin Film FF Series,402,0.250A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF0375TM,Thin Film FF Series,402,0.375A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF0500TM,Thin Film FF Series,402,0.500A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF0750TM,Thin Film FF Series,402,0.750A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF1000TM,Thin Film FF Series,402,1.000A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF1250TM,Thin Film FF Series,402,1.250A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF1500TM,Thin Film FF Series,402,1.500A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF1750TM,Thin Film FF Series,402,1.750A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF2000TM,Thin Film FF Series,402,2.000A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF2500TM,Thin Film FF Series,402,2.500A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF3000TM,Thin Film FF Series,402,3.000A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF3500TM,Thin Film FF Series,402,3.500A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF4000TM,Thin Film FF Series,402,4.000A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0402FF5000TM,Thin Film FF Series,402,5.000A,35VDC,35A@35V DC,20000,20000,Active,Tape and Reel
T0603FF0150TM,Thin Film FF Series,603,0.150A,65VDC,50A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF0200TM,Thin Film FF Series,603,0.200A,65VDC,50A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF0250TM,Thin Film FF Series,603,0.250A,65VDC,50A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF0375TM,Thin Film FF Series,603,0.375A,65VDC,50A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF0500TM,Thin Film FF Series,603,0.500A,65VDC,50A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF0750TM,Thin Film FF Series,603,0.750A,65VDC,50A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF1000TM,Thin Film FF Series,603,1.00A,65VDC,50A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF1250TM,Thin Film FF Series,603,1.25A,65VDC,35A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF1500TM,Thin Film FF Series,603,1.50A,65VDC,35A@35V DC/AC 13A@65V DC,8000,8000,Active,Tape and Reel
T0603FF1750TM,Thin Film FF Series,603,1.75A,35VDC,35A@35V DC/AC 50A@24V DC/AC,8000,8000,Active,Tape and Reel
T0603FF2000TM,Thin Film FF Series,603,2.00A,35VDC,35A@35V DC/AC 50A@24V DC/AC,8000,8000,Active,Tape and Reel
T0603FF2500TM,Thin Film FF Series,603,2.50A,35VDC,35A@35V DC/AC 50A@24V DC/AC,8000,8000,Active,Tape and Reel
T0603FF3000TM,Thin Film FF Series,603,3.00A,35VDC,35A@35V DC/AC 50A@24V DC/AC,8000,8000,Active,Tape and Reel
T0603FF3500TM,Thin Film FF Series,603,3.50A,35VDC,35A@35V DC/AC 50A@24V DC/AC,8000,8000,Active,Tape and Reel
T0603FF4000TM,Thin Film FF Series,603,4.00A,35VDC,35A@35V DC/AC 50A@24V DC/AC,8000,8000,Active,Tape and Reel
T0603FF5000TM,Thin Film FF Series,603,5.00A,35VDC,35A@35V DC/AC 50A@24V DC/AC,8000,8000,Active,Tape and Reel
