产品网址：http://www.huitronic.com/product_show.php?id=178
产品结构：root->AEM可恢复式保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|AEM 可恢复式保险丝|无|自恢复过流保护，快速熔断，符合 RoHS 标准，无卤|

Supplier Part Number,Part Series,Size,Current Rating,Reel Qty,Standard Package,Status,Package Type
PMS1206-010,PPTC PMS Series,1206,0.10A,3500,3500,Active,Tape and Reel
PMS1206-012,PPTC PMS Series,1206,0.12A,3500,3500,Active,Tape and Reel
PMS1206-020,PPTC PMS Series,1206,0.20A,5000,5000,Active,Tape and Reel
PMS1206-025,PPTC PMS Series,1206,0.25A,5000,5000,Active,Tape and Reel
PMS1206-035,PPTC PMS Series,1206,0.35A,5000,5000,Active,Tape and Reel
PMS1206-050,PPTC PMS Series,1206,0.50A,5000,5000,Active,Tape and Reel
PMS1206-005,PPTC PMS Series,1206,0.50A,3500,3500,Active,Tape and Reel
PMS1206-075,PPTC PMS Series,1206,0.75A,5000,5000,Active,Tape and Reel
PMS1206-100,PPTC PMS Series,1206,1.00A,5000,5000,Active,Tape and Reel
PMS1206-110,PPTC PMS Series,1206,1.10A,5000,5000,Active,Tape and Reel
PMS1206-150,PPTC PMS Series,1206,1.50A,3500,3500,Active,Tape and Reel
PMS1206-200,PPTC PMS Series,1206,2.00A,3500,3500,Active,Tape and Reel
PMS1210-010,PPTC PMS Series,1210,0.10A,4500,4500,Active,Tape and Reel
PMS1210-020,PPTC PMS Series,1210,0.20A,4500,4500,Active,Tape and Reel
PMS1210-025,PPTC PMS Series,1210,0.25A,4500,4500,Active,Tape and Reel
PMS1210-035,PPTC PMS Series,1210,0.35A,4500,4500,Active,Tape and Reel
PMS1210-005,PPTC PMS Series,1210,0.50A,4500,4500,Active,Tape and Reel
PMS1210-050,PPTC PMS Series,1210,0.50A,4000,4000,Active,Tape and Reel
PMS1210-050-06,PPTC PMS Series,1210,0.50A,4000,4000,Active,Tape and Reel
PMS1210-075,PPTC PMS Series,1210,0.75A,4000,4000,Active,Tape and Reel
PMS1210-100,PPTC PMS Series,1210,1.00A,4500,4500,Active,Tape and Reel
PMS1210-110,PPTC PMS Series,1210,1.10A,4500,4500,Active,Tape and Reel
PMS1210-150,PPTC PMS Series,1210,1.50A,4500,4500,Active,Tape and Reel
PMS1210-175,PPTC PMS Series,1210,1.75A,4500,4500,Active,Tape and Reel
PMS1210-200,PPTC PMS Series,1210,2.00A,4500,4500,Active,Tape and Reel
PMS1812-010,PPTC PMS Series,1812,0.10A,1500,1500,Active,Tape and Reel
PMS1812-014,PPTC PMS Series,1812,0.14A,1500,1500,Active,Tape and Reel
PMS1812-020,PPTC PMS Series,1812,0.20A,1500,1500,Active,Tape and Reel
PMS1812-030,PPTC PMS Series,1812,0.30A,1500,1500,Active,Tape and Reel
PMS1812-050,PPTC PMS Series,1812,0.50A,1500,1500,Active,Tape and Reel
PMS1812-075,PPTC PMS Series,1812,0.75A,1500,1500,Active,Tape and Reel
PMS1812-100,PPTC PMS Series,1812,1.00A,1500,1500,Active,Tape and Reel
PMS1812-110,PPTC PMS Series,1812,1.10A,1500,1500,Active,Tape and Reel
PMS1812-125,PPTC PMS Series,1812,1.25A,1500,1500,Active,Tape and Reel
