产品网址：https://en.taixin-semi.com/Solve
产品结构：root->珠海泰芯半导体有限公司-产品应用

|产品名称|产品型号|功能描述|
|--|--|--|
|TXW801|无|无|
|TXW802|无|无|
|TXW803|无|无|
|TXW806|无|无|
|TX8C1010|无|无|
|TX8C1260|无|无|
|TX8T3260|无|无|
|TX8T3261|无|无|
|TX8T3262|无|无|
|TX8T3263|无|无|
|TX8T3265|无|无|
|TX8M2260|无|无|
|TX32M2300(TXM2000)|无|无|
|TX8M2261|无|无|
|TX8P6010|无|无|
|TX8W7010|无|无|
|TX8W7260|无|无|
|TX8W7261|无|无|
|TX8W7011|无|无|
|TX8W7262|无|无|
|Wireless Battery Camera Set|无|Stable signal, easily covering 50000 square-meters of the Grand Manor, and once-charge for several-months use.|
|Baby Monitor|无|Can transmit for a long distance(500 meters), or penetrate multiple walls; can watch the baby status in real time, via screen and mobile phone at the same time; supports standby low power consumption with 100 hours.|
|无线智能家居|无|可用于智能家电、智能厨具、智能热水器、智能晾衣架、智能保温杯...,支持阿里云生态、华为云、小米云，为智能家居提供高性能、低功耗、稳定的上云体验|
|电机类应用|无|产品线主要针对风水机水泵等消费类电子提供整体解决方案，如各类变频风扇，油烟机风机，空气净化器风机，电吹风，热水器风机，吸尘器，落地扇，浴室空调，厨房料理机，无人机电刷等，采用有/无感 FOC 控制方式。采用 32 位内核的 MCU 主控制器，高低压半桥驱动，高低压电源管理 IC，信号处理 IC，配合以高低压 MOSFET IPM 模块，遥控模块等产品线，为客户提供面向风机泵类的无刷电机控制方案及配套芯片|
|香薰机应用|无|无|
|低功耗智能门铃|无|信号稳定，低功耗，充电一次待机数月，智能联网，远程对讲|
|单芯片无线网桥|无|单芯片无线网桥方案，支持单点对多点，支持时间片规划，性能稳定|
|无线 Wi-Fi 摄像机|无|稳定可靠，实时高速传输，支持插电和超低功耗电池摄像机应用|
|单芯片 Wi-Fi 图传方案|无|单芯片一次过解决 Wi-Fi 和图传需求，性能稳定，性价比高|
|空调外机|无|低功耗，低噪声，高可靠性|
|Wall Piercing King Wireless Wi-Fi Extender|无|It works in the Sub-GHz band, supports TCP / IP Ethernet interface, can connect with the router, and realizes the long-distance point-to-point wireless bridging of the router, which complies with the latest 802.11ah standard issued by the Wi-Fi Alliance in 2016. At the same time, it has the characteristics of low power consumption, long communication distance, large amount of data transmission and strong anti-interference ability.|
|Wall Piercing King Bridge|无|Worry free of Wi-Fi coverage, plug-and-play, no configuration, wireless monitoring, partition transmission|
|Wireless NVR Set|无|It can transmit HD video for one kilometer, or penetrate multiple walls, easily cover the Grand Manor for one kilometer.|
|Intelligent Doorbell|无|The open distance can reach 800m, the standby current of door unit is down to 200uA, and the standby current of indoor unit is down to 3.5mA.|
|电动工具|无|产品线主要针对锂电手持电动工具提供整体解决方案，如电动扳手，角磨，电锤，电钻等，采用有/无感方波电机（BEMF）控制方式。基于公司核心竞争力 32 位 MCU 主控芯片，中低压半桥驱动，中低压电源管理 IC，信号处理 IC，配合以中低压 MOSFET 等产品线，为客户提供面向锂电电动工具的解决方案以及配套芯片|
