产品网址：https://huahuan.com/en/index.php?m=default.product_detail&fid=2&ccid=190&scid=100&ncid=104&deid=168
产品结构：root->Huahuan_Products_PrecisionTimeProtocol(PTP)GrandmasterClock_H9MO-LMFITCompactSDHMultiplexer

|产品名称|产品型号|功能描述|
|--|--|--|
|H9MO-LMFIT Compact SDH Multiplexer|H9MO-LMFIT|作为华环“MetroEdge-Express”SDH/MSPP 产品家族的关键成员，H9MO-LMFIT 是一款运营商级、高性价比、紧凑（仅 1U 高）的 SDH/MSPP 平台，专为城域和接入网络中的应用而设计，以促进服务提供商的传统 TDM 和新兴数据流量的高效传输。它是一个模块化单元，具有 4 个通用插槽，支持不同的接口卡，如 STM-1 光纤卡、E1 卡、以太网卡（EoS VCAT）和 V.35 卡。主板交叉连接容量为 504×504 VC-12s（8×8 VC-4s），允许在不同接口之间无阻塞地添加/删除服务。它支持在同一设备内混合传输 SDH、PDH 和以太网以及 N*64K V.35 服务。它还支持使用 FDXC64 卡实现 2048×2048 64K（全 64E1）交叉连接容量。凭借大容量交叉连接矩阵，H9MO-LMFIT 可配置为 ADM、TM 和 REG。它适用于多种网络拓扑，如点对点、链、环、集线器和网状网络。主要特点如下：支持 1+1 MSP、SNCP 保护；管理通道可以是 DCC/E1/VC12；内部时钟/外部时钟/线路时钟/时钟保持；以太网服务支持 GFP 封装、VC12 虚拟级联和 LCAS、PVLAN、802.1Q VLAN。H9MO-LMFE 在不同端口上支持以下服务：STM-1（单芯可用）；FE（电和光）；E1/V.35|

Index,Index.1,Performance Parameter
SDH Interface,Max,8 STM-1 optical interfaces  （  Four F155-DO cards used  ）
SDH Interface,Connector,SC/PC/SFP
SDH Interface,Spec.,"S-1.1,S-1.2, L-1.1, L-1.2"
SDH Interface,Spec.,Single fiber bi-directional interface can be optionally supported
Service Card  (4 General Slots),F155-O,Single STM-1 optical interface card
Service Card  (4 General Slots),F155-DO,Dual STM-1 optical interfaces card
Service Card  (4 General Slots),F155-SFP,"Dual STM-1 optical interfaces card, SFP"
Service Card  (4 General Slots),F4XE1,4×E1 interface card (75  W  )
Service Card  (4 General Slots),F8XE1,8×E1 interface card (75  W  or 120  W  )
Service Card  (4 General Slots),FFE201,"2 FE over 1 VCG trunks (EoS),No LCAS"
Service Card  (4 General Slots),FFE201L,"2 FE over 1 VCG trunks (EoS), LCAS"
Service Card  (4 General Slots),FFE201E,2 FE over 1 (1~16)E1 trunks (EoE)
Service Card  (4 General Slots),FFE401,4 FE over 1 VCG trunks (EoS)
Service Card  (4 General Slots),FFE404,4 FE over 4 VCG trunks (EoS)
Service Card  (4 General Slots),FFE404E,"4 FE over 4(1~16)E1 trunks (EoE),LFP"
Service Card  (4 General Slots),FFE404SE,4 channels of N ×64K Sub-Ethernet
Service Card  (4 General Slots),FFX404,4 Fx over 4 VCG trunks (EoS)
Service Card  (4 General Slots),F2XV35,2×V.35 interface card (framed or unframed)
Service Card  (4 General Slots),FDXC64,Full 64E1 DXC (2048×2048 64k cross-connect)
PDH interface,E1 Spec.,"Comply with G.703,G.823, 2.048Mbps, HDB3"
