产品网址：https://www.szforward.com/product/productDetail_S12500.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|----|----|----|
|通用交换机|S12500-09|无|

型号名称,Tritium S12500-09
硬件规格,硬件规格
系统架构,CLOS，正交
业务槽位数量,9
交换网板槽位数量,4
管理引擎槽位数量,2
电源,8个电源槽位，模块化可热插拔  A+B双平面，每平面内可N+M冗余
通风,4个风扇盘，每风扇盘5个风扇，18+2冗余，前进风后出风
实时时钟,支持
尺寸(高×宽×深),620.8mm×440mm×753mm（不含挂耳）  620.8mm×444mm×753mm（含挂耳）
高度,14U
工作温度,0°C-40°C
工作湿度,5%-90%，无凝结
输入电压,交流：90-264V，47-63Hz
性能规格,性能规格
包转发率,7600Mpps
MAC表容量,256K
VLAN数量,4094
三层接口数量,1024
IP主机表数量,304K
路由表,128K
ACL表,8K
业务规格,业务规格
转发模式,存储转发
端口特性,"支持Full- duplex, Half- duplex  支持IEEE802.3x flow control ( Full- duplex )  支持HOL防止首包阻塞，背压( Half- duplex )  支持VCT ( Virtual Cable Test )  支持UDLD, LLDP, LLDP-MED  支持IEEE 802.3ae, 802.3ab, 802.3z, 802.3u, 802.3  支持9K Jumbo frame  支持Loopback interface  支持Port loop detect  支持Port-Isolation  支持10GE/GE光模块兼容  支持Port Mirror  支持64Kbps粒度端口限速"
MAC特性,支持MAC binding  支持MAC filter  支持MAC limit  支持设定MAC超时时间
VLAN特性,"支持基于端口的VLAN  支持基于802.1Q的VLAN  支持Private VLAN  支持IP subnet VLAN  支持基于协议的VLAN  支持基于MAC的VLAN  支持组播VLAN  支持Voice VLAN  支持QinQ, Slective QinQ, Flexibe QinQ  支持GVRP"
端口聚合,支持LACP 802.3ad  支持源MAC/目的MAC/源-目的MAC/源IP/目的IP/源-目的IP负载均衡  支持128个聚合组  每个聚合组最大支持8端口聚合
二层环网,"支持802.1D STP  支持802.1W RSTP  支持802.1S MSTP  支持Root Guard, BPDU Guard, BPDU Forwarding, BPDU Tunnel"
风暴抑制,支持Broadcast / Multicast / Unicast风暴抑制
IP应用,"支持IPv4/IPv6 Protocol  支持IPv4/IPv6 PBR ( Policy Based Routing )  支持IPv4/IPv6 ECMP  支持VLSM, CIDR  支持VRRP, VRRPv3  支持BFD  支持ARP guard, Local ARP proxy, Proxy ARP, ARP binding, Gratuitous ARP, ARP limit  支持DHCP Server  支持DHCP Client  支持DHCP Relay, DHCP Relay Option 82  支持DHCP Snooping, DHCP Snooping Option 82  支持DNS Client, DNS proxy"
IPv4单播,"支持IPv4 Default Routing, Static routing, Black hole route  支持RIPv1/v2  支持OSFPv2  支持BGPv4"
IPv4组播,"支持IGMP v1/v2/v3, IGMP v1/v2/v3 Snooping  支持IGMP Proxy  支持IPv4 Multicast VLAN Register (MVR)  支持PIM-DM, PIM-SM, PIM-SSM, MSDP"
IPv6协议,"支持ND ( Neighbor Discovery ), ND Snooping  支持无状态地址自动配置  支持重复地址检测 (DAD)  支持PMTU Discovery  支持ICMPv6, NDP, SNMP over IPv6, HTTP over IPv6, IPv6 Ping/tracer, IPv6 Telnet, IPv6 RADIUS+, IPv6 Syslog, IPv6 SNTP, IPv6 FTP/TFTP  支持DHCPv6 Server, DHCPv6 relay,  支持手动配置Tunnel、6to4 tunnel、ISATAP"
IPv6单播,"支持IPv6 Default Routing, Static routing, Black hole route  支持RIPng  支持OSFPv3  支持BGPv4+"
