产品网址：https://www.myrntec.com/eol/131.html
产品结构：root->控制单元EOL测试系统_新能源行业核心部件EOL测试系统_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|控制单元 EOL 测试系统|无|针对 BMS/VCU/MCU/ABS/BCM/EPS/EPB/DCM 等新能源汽车核心控制单元的下线测试而设计的集成化智能化测试解决方案。可以实现 BMS 供电、通信、采集、控制输出等全功能测试项目，充分覆盖产品的典型测试工艺要求，帮助客户识别产品缺陷，提高产品质量水平。|

项目,参数,基本准确度
低压供电电压,0~40V,0.03%+30mV
低压供电电流,0~20A,0.03%+30mA
模拟电池单节电压,0~5000mV,0.5mV
模拟电池单节电流,1000mA,0.5mA
高压输出电压,0~1500V,0.05%RD±0.05%FS
高压输出电流,1000mA,0.1%RD±0.1%FS
可调电阻范围,0~511KΩ,0.1%
分流器模拟信号,-110~110mV,0.015%＋10uV
通讯功能,CAN/CANFD/RS485,CAN/CANFD/RS485
系统供电,220VAC±10%，频率50Hz,220VAC±10%，频率50Hz
设备尺寸,600*800*2000mm（W*D*H）,600*800*2000mm（W*D*H）
