产品网址：https://www.myrntec.com/eol/130.html
产品结构：root->动力/储能电池包EOL测试系统_新能源行业核心部件EOL测试系统_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|锐能动力/储能电池 EOL 测试系统|无|针对电芯、模组、PACK 等产品安规、功能下线测试而设计的集成化智能化测试解决方案。可以实现安规测试，绝缘测试，BMS 功能测试，继电器测试，温度检测，SOC 检测等测试项目，充分覆盖产品的典型测试工艺要求，帮助客户识别产品缺陷，提高产品质量水平。|

项目,规格参数
基本功能测试,单体电压/温度采集一致性
基本功能测试,CAN/CANFD/RS485等通讯功能
基本功能测试,软硬件版本号校验
基本功能测试,参数标定/故障清除
基本功能测试,OCV/ACR
基本功能测试,程序烧录
基本功能测试,国标快慢充功能模拟
安规性能测试,交直流耐压测试
安规性能测试,绝缘电阻测试
安规性能测试,交直流等电位测试
安规性能测试,绝缘故障模拟
系统供电,220VAC±10%， 频率50Hz
设备尺寸,600*800*2000mm(W*D*H)
