产品网址：https://www.myrntec.com/cfd/19.html
产品结构：root->5MW储能舱测试平台_锂电池充放电自动化测试解决方案_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|5MW 储能舱测试平台|无|主要应用于储能舱产品的测试和质量控制，可实现充放电数据监测一体化。采用三电平控制技术和先进矢量控制算法，交流测采用先进的脉冲调制整流技术实现直流与交流能量的双向控制，对局部电网有功率因数校正和谐波治理作用。直流侧采用先进的三相交错均流矢量控制算法技术，实现了直流母线电压的高精度低纹波输出，宽范围可调，动态响应快等特点，能够适应宽范围的储能舱测试。可用于舱体充放电对托测试，满足 0.1P、0.25P、0.5P 倍率对托测试，标准电源模块，支持多机并联，最大功率可达 7.5MW，满足 CE/UL 等出口认证要求。|

项目,规格参数
AC侧供电,380±10%VAC， 50±5%Hz
DC侧电压范围,0~1600V(可定制)
DC侧电压精度,±0.05%F.S.(分辨率1mV)
DC侧电流范围,0~2400A(可定制)
DC侧电流精度,±0.05%F.S.(分辨率1mA)
通道数,1CH/2CH(选配)
电流响应时间,5mS(10%~90%)
电流切换时间,10mS(10%~90%)
最大回馈效率,≥96%
充电模式,恒流、恒压、恒功率、斜坡等
放电模式,恒流、恒压、恒功率、恒阻、斜坡等
其他工作模式,静置、工况模拟、脉冲测试、DCIR测试等
保护功能,过流/过压/欠压/反接/错接/通讯异常保护等
