产品网址：https://www.myrntec.com/chunengbms
产品结构：root->储能BMS_电池管理系统BMS_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|电池管理系统 BMS|100V 平台 BMS 系统、500V 平台 BMS 系统、500V 平台 BMS 系统-12V 供电、800V 平台 BMS 系统-24V 供电、BDU/PDU、工业车辆用 BMS 4G 模块、工业车辆用 BMS G1B 模块、二三轮车用 BMS 48V 系统、二三轮车用 BMS 72V 系统|无|
|电池智能制造 IME|无|无|
|电池总成系统 PACK|无|无|
|储能 BMS|储能电池系统总控管理 BAMS01、储能电池簇管理 ESC10B、储能电池信息采集管理 ESM7B3620B、储能电池信息采集管理 ES-M1819A、储能电池信息采集管理 ES-M5460A|无|
|直流汇流控制柜|无|无|
|锐兆方工商业储能 RISS 系列|RISS211 型、液冷储能站、风冷储能站|无|
|锐亿方电网侧 RGES 系列|无|无|
|锐魔方户用储能 RESS 系列|RESS2600 型、RESS5120 型|无|
|锐致远便携储能 RMES 系列|RMES500 型|无|
|动力电池 PACK 系列|车规级动力电池 PACK15/24Kwh、电动高空作业自行走平台专用 PACK、国标电动轻型两轮车 PACK、中大型电动摩托车专用 PACK|无|
|储能用电池模组|标准化模组产品|无|
