产品网址：https://www.myrntec.com/en/power_pack/12.html
产品结构：root->RN-1221_PowerPack_Products_AnhuiRuinengTechnologyCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|Power Pack|RN-1221|LFP-IFP2265146-21Ah|
|Portable Energy Storage|Crius R6|无|
|Portable Energy Storage|Crius R8|无|
|Portable Energy Storage|Crius R9|无|
|Residential Energy Storage|“Rui Cube”RESS-Y|无|
|Residential Energy Storage|“Rui Cube”RESS|无|
|Residential Energy Storage|“Rui Optipower”|无|
|Industrial Commercial Energy Storage|“Rui Mega Cube”RIES|无|
|Grid-side Energy Storage|“Rui Giga Cube”RGES series (liquid-cooled)|无|
|Grid-side Energy Storage|“Rui Giga Cube”RGES series (air-cooled)|无|
|Grid-side Energy Storage|“Giga Cube”RGES series（30 foot）|无|
|Grid-side Energy Storage|“Giga Cube”RGES series（40 foot）|无|
