产品网址：https://www.myrntec.com/rges/39.html
产品结构：root->液冷储能站_锐亿方电网侧RGES系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|液冷储能电池系统|无|由 20 尺预制舱组成，内含电池系统、照明、消防、汇流、液冷机组等。以电池簇为基本单位，可涵盖不同电压、不同容量的场景需求，可与光伏、风电、火电等系统配合实现新能源消纳、平滑出力、削峰填谷、调频调峰，以及为电网提供辅助服务等，广泛应用于发、输、配、用各个环节。具有超高安全性、自主研发 BMS、大容量电芯、液冷温控等优势特点。|

型号,ESD1267.2-05P3421.4
额定能量,3421.4kWh
推荐运行电压范围,1108.8-1425.6Vdc
标称电压,1267.2dc
最大充放电倍率,0.5P@25℃
工作温度范围,-30~45℃
湿度,0-95%RH
防护等级,IP54
消防系统,七氟丙烷/全氟己酮
海拔,＜3000m
重量,≈37t
通讯方式,CAN/RS485/Ethernet
符合标准,UL1973、UL9540A、IEC62619*、UN38.3、IEC62477*、IEC61000*、IEC60730*、IEC62933*
